"Standard Name",Description,Category,Status,"Deployment Type","Approval Expiration Date"
"Adobe Acrobat Reader DC 2022 (22.xx or higher)","This is a 2022 update to the Acrobat Reader 2021. This version of the software does not require an entitlement in the Adobe Console or ServiceNow and can be installed by anyone in GSA via BigFix Catalog.  Adobe Acrobat Reader DC software is the free, trusted global standard for viewing, printing, signing, sharing, and annotating PDFs. It's the only PDF viewer that can open and interact with all types of PDF content – including forms and multimedia.","PDF Software",Approved,Desktop,2024-03-22
"Adobe Acrobat Reader DC 21.xxxx (for Win/Mac)","Adobe Acrobat Reader DC software is the free, trusted standard for viewing, printing, signing, and annotating PDFs and this is the latest version released: 2021.  This version of the software does not require an entitlement in the Adobe Console or ServiceNow.","PDF Software",Approved,Desktop,2023-02-24
"Adobe Captivate 2019 v11.x","Adobe Captivate is an authoring tool that is used for creating eLearning content such as software demonstrations, software simulations, branched scenarios, and randomized quizzes in Small Web Formats and HTML5 formats. Captivate is also used by the Conexus team to record application workflows in order to present and demo the product to GSA.","Electronic Publishing",Approved,Desktop,2023-09-22
"Adobe ColdFusion Enterprise 2016 Release","ColdFusion is a rapid development platform for building modern web applications. It gives you integration with functionality important to web applications like database access, MS Exchange access, PDF form creation and more.   Adobe ColdFusion Enterprise Edition is a robust platform for scalable, high-performing web and mobile applications. Take advantage of the security code analyzer to automatically detect vulnerabilities in code, and use the API Manager to extend reach via APIs. Benefit from performance improvements to run existing code as much as 30% faster","Programming Language",Denied,Server,-
"Adobe ColdFusion Enterprise 2021 Release","As of February 17, 2021, Adobe ColdFusion Enterprise 2016 Release reached the end of life support.  Upon end of life support, GSA IDTOA Middleware support team has migrated ColdFusion 2016 Release version to Adobe ColdFusion Enterprise 2021 Release.","Programming Language",Approved,Server,2023-05-03
"Adobe Connect 11.x","This is a request to upgrade from Adobe Connect 9.x to the latest Adobe Connect 11.x.  Our vendor will be upgrading us and this is needed because we still have a group of FAS Webinars being done through Adobe Connect and Flash is going away.  This version eliminates the requirement to have Flash.","Video Conferencing",Approved,Desktop,2022-12-29
"Adobe Creative Cloud 2022","This is an annual version update for Adobe Creative Cloud from 2021 to 2022.  Creative Cloud is a collection of 20+ desktop and mobile apps and services for photography, design, video, web, UX and more.  Creative Cloud includes apps and services for video, design, photography, and the web.  This suite includes Remote Update Manager (RUM) also known as Desktop Manager in Macintosh. The creative cloud suite also includes the latest version of Photoshop as well.  Here is the list of applications included in the creative cloud suite: Desktop Manager, Photoshop, Illustrator, InDesign, Acrobat Pro DC, Dimension, InCopy, Spark, Capture, Comp, Lightroom, Lightroom Classic, Bridge, Photoshop Fix, Premiere Pro, Audition, After Effects, Character Animator, Media Encoder, Animate Premiere Rush, Fuse, Aero, Substance, Animate, Dreamweaver, After Effects, Fresco, Capture, Premiere Rush, Spark, and Adobe Fonts.","Multimedia Content Management",Approved,Desktop,2023-12-01
"Adobe Creative Cloud Suite 2021","Creative Cloud includes apps and services for video, design, photography, and the web. This suite includes Remote Update Manager (RUM) also known as Desktop Manager in Macintosh. The creative cloud suite also includes the latest version of Photoshop as well. The application will be offered or pushed via BigFix once the user is verified to have an entitlement listed on their SN entry. Here is the list of applications included in the creative cloud suite: Desktop Manager, Photoshop, Illustrator, InDesign, Acrobat Pro DC, Dimension, InCopy, Spark, Capture, Comp, Lightroom, Lightroom Classic, Bridge, Photoshop Fix, Premiere Pro, Audition, After Effects, Character Animator, Media Encoder, Animate Premiere Rush, Fuse, Aero, Substance, Animate, Dreamweaver, After Effects, Fresco, Capture, Premiere Rush, Spark, and Adobe Fonts.","Multimedia Content Management",Approved,Desktop,2023-08-04
"Adobe Experience Manager - Forms v6.x","This technology is needed to continue creating and revising fully fillable, savable, and Section 508 compliant government-wide Standard and Optional Forms, as well as GSA agency forms available in the GSA Forms Library. My organization will implement this technology by creating and revising official Standard, Optional, and GSA forms using the desktop forms designer tool and uploading the approved forms to the server software to enable the full save and other forms related features not available for those who use the forms only with Adobe Reader.","PDF Software",Approved,Server,2024-03-01
"Adobe Flash Player v 29","All enterprise endpoints will require Flash media player for web animations and interactive content. It will be implemented via an enterprise push utilizing the BigFix Software Distribution Agent that's installed on all enterprise endpoints.","Electronic Publishing,Multimedia Content Management",Approved,Desktop,2022-05-01
"Advanced Port Scanner","Software item needed, this is a servicing tool to support the GSA Advanced metering program technicians to setup, monitor and troubleshoot GSA PBS electric/water/gas/steam meters.  This software will be installed on VDI BFI desktop and BSN Consoles: 
Advanced Port Scanner - https://www.advanced-port-scanner.com/ Advanced Port Scanner is a free network scanner allowing you to quickly find open ports on network computers and retrieve versions of programs running on the detected ports.","Building Automation",Approved,Desktop,2022-10-21
"Agilquest OnBoard Navigator v6.x","This software allows data management within the BookIT application.  A workplace management software that helps companies provide choice and flexibility for employees, while optimizing the use of office assets including workspaces, conference rooms, parking spaces and other workplace resources.​  The platform can be used to find and book a workspace or meeting room, see where teammates are sitting, find a room that has needed amenities, check-in and manage room reservations, and provide actionable data about how and where employees are getting work done (just to name a few).","Miscellaneous Software",Approved,Desktop,2022-09-22
"AIDA64 v6.x","GSA PB-ITS has since been revising the specification for CAD and BIM laptops at least annually, since vendors release updated major versions of their hardware.  Reviewing new hardware versions requires documented testing deliverables to be provided to the ID organization to validate a device's readiness to be used for BIM, GIS, and Spatial Data Management.  Current processes for creating documentation are at the discretion of the tester and, in some cases, have not been documented to the same degree. Testing hardware involves several things to make sure such hardware is adequate for spatial data analysis including: System Stability Test, 
Monitor diagnostic, Disk benchmark, Cache and memory benchmark, GPGPU benchmark, and Overclock information.",-,Approved,Desktop,2023-11-22
"AIRCx Results Visualization 1.x","The AIRCx Results Visualization tool is a web based application that provides a means to graphically view the results produced by the PNNL building fault detection and retro-commissioning VOLTTRON applications.","Building Automation",Approved,Server,2023-01-06
Airtable,"Airtable provides relational database-like functionality for complex records in a simple interface in a way that spreadsheets aren't able to handle. It's a powerful tool that helps designers manage and make sense of complex records for tasks like content audits, managing the end-to-end research process, qualitative research analysis, and more (see examples: https://airtable.com/universe).","Workplace Productivity",Approved,SaaS,2023-06-17
"Alerton Compass 1.x","This is a Supervisory Control Software (SCS) that is integrated with the BAS network and commands HVAC controllers.","Building Automation",Approved,Server,2022-08-12
"Alteryx Designer Tool v2020.x","The Alteryx Designer Tool (Alteryx) is uniquely suited to provide no code and or low code self- service analytics to support data blending from numerous data sources, data merging, and for conducting predictive and forecasting analysis that will facilitate current FY21 process improvements projects for ITC and the IT Services Operations Division (QT3GA).","Reporting and Analysis",Approved,Desktop,2022-12-02
"Altova Mission Kit (windows-based 32-bit or 64-bit product)","The purpose of this application is so that I can manage, extend, design, and provide versioning for the schema files that I will be authoring. I have been using the Oxygen Eclipse open source software for xml instance creation and pretty-printing. The Oxygen Eclipse solution provides basic functionality – a basic schema editor and a basic xml editor.",Modeling,Approved,Desktop,2022-03-01
"Amazon AWS Redshift","Amazon Redshift is a fully managed, easily scalable petabyte-scale data warehouse service that works with your existing business intelligence tools. FedRAMP Approved - US East/West Regions.   FedRAMP approved services and/or services approved by IS for GSA program usage.","Cloud Based Dev Platform",Approved,SaaS,-
"Amazon AWS Simple Storage Services (S3)","Amazon S3 provides a fully redundant data storage infrastructure for storing and retrieving any amount of data, at any time, from anywhere on the Web. FedRAMP Approved - US East/West Regions, GovCloud.
 
 FedRAMP approved services and/or services approved by IS for GSA program usage.","Cloud Based Dev Platform",Approved,SaaS,-
"Amazon AWS Virtual Private Cloud (VPC)","Amazon VPC lets you provision a private, isolated section of the AWS Cloud where you can launch AWS resources in a virtual network that you define. With Amazon VPC, you can define a virtual network topology that closely resembles a traditional network that you might operate in your own datacenter. FedRAMP Approved - US East/West Regions, GovCloud.   FedRAMP approved services and/or services approved by IS for GSA program usage.","Cloud Based Dev Platform",Approved,SaaS,-
"Amazon Coretto v11.x","An update on the business justification is that Amazon Corretto is supposed to be an alternative to using Oracle Java JRE.  Corretto is expected to be used on AWS servers, VDI Virtual workstation pools, and JamfPro infrastructure servers at a minimum.  Being used on platforms such as Windows servers and others. Amazon Corretto is certified to meet the Java SE standard and can be used as a drop-in replacement for many Java SE distributions.  Amazon Corretto is a no-cost, multiplatform, production-ready distribution of the Open Java Development Kit (OpenJDK).  Corretto comes with long-term support that will include performance enhancements and security fixes.  Amazon runs Corretto internally on thousands of production services and Corretto is certified as compatible with the Java SE standard.  With Corretto, you can develop and run Java applications on popular operating systems, including Linux, Windows, and macOS.","Cloud Based Dev Platform",Approved,Desktop,2023-08-18
"Amazon Coretto v17.x","Amazon Corretto 17 is an alternative to using Oracle Java JRE. Corretto is expected to be used on Windows and MAC workstations, AWS servers, VDI Virtual workstation pools, and JamfPro infrastructure servers. Amazon Corretto is certified to meet the Java SE standard and can be used as a drop-in replacement for many Java SE distributions.  Amazon Corretto 17 is a no-cost, multiplatform, production-ready distribution of the Open Java Development Kit (OpenJDK). Corretto comes with long-term support that will include performance enhancements and security fixes.  You can develop and run Java applications on popular operating systems, including Linux, Windows, and macOS.","Cloud Based Dev Platform",Approved,Desktop,2024-04-15
"Amazon Linux 2 / Linux OS","Amazon Linux 2 is a Linux operating system that provides a modern application environment with the latest enhancements from the Linux community and offers long-term support.  Amazon Linux 2 supports the latest Amazon Elastic Compute Cloud (Amazon EC2) instance features and includes packages that enable easy integration with AWS.  It is optimized for use in Amazon EC2 with a latest and tuned Linux kernel version.  As a result, many customer workloads perform better on Amazon Linux 2. Amazon Linux 2 offers will be supported until June 30, 2023 with security and maintenance updates.  Amazon Linux 2 is available as on-prem virtual machine images allowing local development and testing. Amazon Linux 2 will be used as an operating system on hosts running workloads in the GSA AWS Cloud environment.","Operating System",Approved,Server,2023-08-04
"Amazon Web Services","Amazon Web Services (AWS) is a collection of remote computing services (also called web services) that together make up a cloud computing platform, offered over the Internet by Amazon.com.  This includes the following software components 'CloudWatch' and 'CloudTrail'.  Use the FedRAMP link below to view all approved components under Amazon Web Services.","Cloud Based Dev Platform,SOA Framework",Approved,PaaS,-
"Amazon Web Services Command-line Interface (AWS CLI) v2.x","AWS CLI is required in order to support multi-factor authentication for viewing, configuring, and troubleshooting AWS resources/services.  This tool will be used by developers to connect to AWS accounts using multi-factor authentication.",DevOps,Approved,Desktop,2023-03-31
"Anaconda 2020.11","The Real Property Policy Division of the Office of Government-wide Policy has data contained in the Federal Real Property Profile (FRPP) Management System that can provide over 1,000,000 rows of data for analysis when queried by the system.  This reflects an upgrade request for the DSVD VDI.","Cloud Based Dev Platform",Approved,Desktop,2022-12-28
"Anaconda 4.10.x","We use Anaconda with Python in the ecommerce division in the Advantage/Elibrary/eBuy suite of applications including the new version of Advantage data side application, ACR. ACR stands for Authoritative Catalog Repository, a new project for replacing advantage3 backend data storage.","IDE-Integrated Development Environment",Approved,Desktop,2023-07-21
"Anaconda Distribution 5.x","Parent technology is Anaconda.  Child technologies are Jupyter, Pandas Profiling Module, SciPy, and NumPy. For more information see the following: https://www.anaconda.com/distribution/.","Development Tool",Approved,Desktop,2022-11-28
"Anchore CLI","This is an additional tool that integrates with Anchore that allows command line based image scanning with the parent software Anchore Engine.  It further allows devsecops style implementations and would be installed in developers Linux implementations and in devops pipelines.",DevOps,Approved,Server,2023-09-15
"Angular 10.x","Angular releases major versions roughly every 6 months, and they remove support for previous versions typically after 18 months. Given that Angular is under active development, we need to update and test our code against the latest versions so that we can be proactive and plan for any large deprecation changes that could impact our timeline and deployment schedules.
https://blog.angular.io/
https://blog.angular.io/angular-2021-recap-and-2022-preview-cb3067f76217","Software Development",Approved,Other,2022-12-31
"Angular 11.x","The Advantage a suite of applications make use Angular Advantage business suite as well as in eBuy application Currently Angular 11 is needed in the developers environment, ie.  In the desktop and on the server for making upgrades to various applications, from Angular 10 and then to 11, Angular 10 is set to expire at the end of the year 2021.
https://blog.angular.io/
https://blog.angular.io/angular-2021-recap-and-2022-preview-cb3067f76217","UI Controls",Approved,Desktop,2023-12-31
"Angular 13.x","The Advantage a suite of applications make use Angular Advantage business suite as well as in eBuy application.  Currently Angular 13 is needed in the developers environment, i.e.  In the desktop and on the server for making upgrades to various applications, from Angular v11  to v13.","Web Application Framework",Approved,Desktop,2024-03-08
"Angular 9.x","Angular releases major versions roughly every 6 months, and they remove support for previous versions typically after 18 months. Given that Angular is under active development, we need to update and test our code against the latest versions so that we can be proactive and plan for any large deprecation changes that could impact our timeline and deployment schedules.","Web Application Framework",Approved,Other,2022-11-04
"Ansible Tower 3.4.x","Red Hat Ansible Tower provides the capability to centralize and control our IT infrastructure with a visual dashboard, role-based access control, job scheduling, integrated notifications and graphical inventory management.","Cloud Based Dev Platform",Approved,Server,2022-08-01
Antora,"Functionality: Antora is an open source multi-repository static documentation site generator.  Business Justification:
FAS Cloud Service (FCS) team is developing Multi-tenant Container as a Service (MCaaS) and creating MCaaS product documentation web portal is part of the scope of this project.  Antora is a perfect fit for MCaaS team to achieve the objective of building MCaaS web portal because MCaaS has multiple repositories.","Portal Content Management",Approved,Server,2022-11-04
"Apache ActiveMQ 5.x","Apache ActiveMQ is a necessary add-on component to Alfresco 6. Alfresco is being utilized by the CFR and EDMS national applications that are currently being upgraded from Alfresco 5 to 6. ActiveMQ is a multi-protocol Java-based messaging server.","Document Management",Approved,Server,2024-03-01
"Apache Ant 1.10.x","Apache Ant is a Java library and command-line tool whose mission is to drive processes described in build files as targets and extension points dependent upon each other.  The main known usage of Ant is the build of Java applications.  Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Ant can also be used effectively to build non Java applications, for instance C or C++ applications.    https://ant.apache.org/bindownload.cgi","Development Tool",Approved,Desktop,2023-12-31
"Apache Camel V3.x","The Apache Camel software is required to support creation of flat files needed for the transmission of data from the REXUS (Real Estate Across the US) system to the Pegasys (financial system) for the new REXUS/Pegasys interface currently under contract and in development.","Development Tool",Approved,Server,2023-06-26
"Apache Directory Studio 2.x","Apache Directory Studio is a complete directory tooling platform intended to be used with any LDAP server however it is particularly designed for use with Apache DS.  It is an Eclipse RCP application, composed of several Eclipse (OSGi) plugins, that can be easily upgraded with additional ones.   This request is part of the CAS/IAE Program Dev Tools on VDI for BSP Customer Relationship Management tool.","IDE-Integrated Development Environment",Approved,Server,2022-09-01
"Apache HTTP Server 2.4.x","The Apache HTTP Server Project is a collaborative software development effort aimed at creating a robust, commercial-grade, featureful, and freely-available source code implementation of an HTTP (Web) server. The project is jointly managed by a group of volunteers located around the world, using the Internet and the Web to communicate, plan, and develop the server and its related documentation.","Web Servers",Approved,Server,2023-01-02
"Apache Kafka 2.x","Apache Kafka (Windows) is used server side for GSA Advantage suite of apps in GSA-Advantage, GSA eBuy and ACIS apps.  Now with advent of new projects slated for AWS/FCS, personal Kafka v2.x installation on the desktop is necessary.

https://kafka.apache.org/documentation/","Development Tool",Approved,Desktop,2023-02-10
"Apache Maven 3.X (Desktop)","Needed for application development and build automation activities to support TAMS, TMSS, and Smartpay.

Apache Maven is a software project management and comprehension tool. 
Based on the concept of a project object model (POM), Maven can manage a project's build, reporting and documentation from a central piece of information.
If you think that Maven could help your project, you can find out more information in the ""About Maven"" section of the navigation. This includes an in-depth description of what Maven is and a list of some of its main features.    https://maven.apache.org/","Building Automation",Approved,Desktop,2023-02-01
"Apache Solr 8.x (Lucene)","Solr (Lucene) is the search engine technology used in GSA Advantage ecommerce web site, currently using Solr 5 which is outdated and needs an upgrade.  Solr 8.x is the latest version we need for deploying on GSA-Advantage and related tools such as GSDA-Elibrary.","Search Engine",Approved,Server,2023-01-13
"Apache Spark v3.2.x","Apache Spark will be used to: Convert the existing SmartPay2 and JMP datafiles and SybaseIQ data to parquet format.   Perform ad-hoc analysis of these old data files (data) to answer periodic queries from the SmartPay Business line, their Agency customers, and IGs.  Discontinue use of costly SybaseIQ database and infrastructure.  Achieve greater PCI DSS compliance and implement ""PCI DSS Requirement 2.2.1: Do not host functions that require different levels of security on the same server. Ensure that there is only one application that performs one primary function per server.   Apache Spark™ is a multi-language engine for executing data engineering, data science, and machine learning on single-node machines or clusters.",-,Approved,Desktop,2023-12-04
"Apache Tomcat 9.x","Tomcat application server has been well utilized in GSA IT. This request adds the 9.x version to the inventory for evaluation.
CFR and EDMS national applications need Tomcat to run numerous services, such as Alfresco, SOLR, and custom Java applets.","Application Servers",Approved,Server,2024-02-14
"Apache Traffic Server v 9.x","To provide a HTTP2-compliant HTTP caching layer and API routing for our service.  It will be deployed as part of the API umbrella stack that powers api.data.gov.  Nginx is not a substitute.  Its caching layer won’t work for our use case, since it requires buffering all responses for the caching to be functional.  Since we need to support streaming HTTP responses, we can’t support streaming while also supporting caching with Nginx’s caching implementation.",Servers/Computers,Approved,Server,2023-06-23
"APCO - SignWord Pro 2.x","This software is required to create, update and print building directory signs for our building standard signage.","Building Management",Approved,Desktop,2023-02-10
"Apex Data Loader v53.x","Apex Data Loader is an easy to use graphical tool that helps you to get your data into Salesforce objects. Apex Data Loader can also be used to extract data from database objects into any of the destinations mentioned above. You can even use the Data Loader to perform bulk deletions by exporting the ID fields for the data you wish to delete and using that source to specify deletions through the Data Loader.","Software Development",Approved,Desktop,2024-03-21
"API Manager, (includes components Enterprise Integrator, Analytics)","We're in the process of assessing API Management Platforms to make a formal recommendation to GSAIT Upper Leadership for the solution that will be a shared service available in the FCS environment for all tenants.  CISS Cloud Advisory has completed their assessment of the provided solutions and has recommended WSO2 as the API Management Platform.","API Management",Approved,Server,2023-08-02
"Apollo Embedded v9.x","SIP, a desktop application, installed on GSA Schedule Vendors' desktop, used for ingesting the catalog data from vendors to GSA Advantage.  This application was originally developed using Delphi software and continued with operations and maintenance.  There are active plans to migrate off of desktop based systems to web based systems as part of Catalog Management Modernization initiative.  Until the new system is available for use, we need to continue with our operations and maintenance of SIP using Delphi software.  Apollo Embedded is used as database engine for managing DBF database files.",-,Approved,Desktop,2024-02-23
ApowerMirror,"Solution required to conduct training on government furnished mobile devices (specifically iPhones). The solution has the ability to cast the iphone screen to perform demos during GSA IT hosted training sessions.","Miscellaneous Software",Approved,Desktop,2022-05-19
"Apple iTunes 12x","Apple iTunes 12.x will be used ONLY by IT Support Staff who need the ability to wipe mobile devices.","Mobility Technology Services",Approved,Desktop,2023-04-14
"Apple MacOS 10.15 Catalina","macOS Catalina (version 10.15) is the sixteenth major release of macOS, Apple Inc.'s desktop operating system for Macintosh computers.  The successor to macOS Mojave. ISecurity improvements in Catalina better protect macOS from tampering, help ensure apps are safe, and give users greater control over access to their data. macOS Catalina now runs on a dedicated, read-only system volume, which means it is completely separate from all other data, and nothing can accidentally overwrite critical operating system files.  This version of the OS does NOT support 32-bit applications but the CE team will be auditing the number of 32-bit applications running in the enterprise before rollout.","Operating System",Approved,Desktop,2022-04-06
"ArcGIS AppStudio","ArcGIS AppStudio provides tools that the GSA GIS Community will need to build geo enabled cross-platform native apps from a single code base.  AppStudio offers an entire suite of productivity tools that make app creation quick and efficient, including development, testing, deployment, and distribution.  Apps developed in AppStudio can be deployed across multiple platforms—iOS, Android, Mac, Linux, and Windows.  Whether you're most comfortable configuring templates or you're an experienced code ninja, AppStudio helps turn prototypes into real-world apps in record time.  GSA is going to begin working with data in the 3D Scene Viewer templates to interact with features to select and view attribute information in pop-ups from 3D Buildings.","Development Tool",Approved,Desktop,2022-11-04
"ArcGIS for AutoCAD (v400)","Several users have reported a need to transfer geospatial information from the Esri GIS desktop application environment to the engineering AutoCAD environment for geospatial, design and maintenance purposes in the CFR.","GIS-Geographic Information System",Approved,Desktop,2022-10-21
"Archer GRC v6.x","The Archer GRC information system will be leveraged as GSA's Office of the Chief Information Security Officer (OCISO) Governance, Risk Management and Compliance (GRC) tool.  Utilized in performing both IT Security and Privacy governance, risk management, and compliance activities across GSA's managed IT portfolio.",-,Approved,Desktop,2024-01-12
"Arcserve v.17x","ArcServe has been used in SAM and FPDS (GSA IAE) since 2012 when those environments were located in our GSA IAE data centers. The data centers were shut down last year since we moved to the AWS Cloud, so the Arcserve servers were moved to the Raleigh Data Center since there was no longer a physical location within the data center to keep them.  We will eventually have VTP access (once approved by GSA IST) so that we can retrieve historic logs when requested by OIG, etc","Data Backup",Approved,Server,2022-10-21
ArgoCD,"ArgoCD is needed to support Kubernetes infrastructure configuration that is declarative and version controlled.  This facilitates making application deployment and lifecycle management automated, auditable, and easy to understand.  ArgoCD will be deployed in AWS, hosted on a Kubernetes cluster to support the continuous integration testing and deployment of GSA’s PPMS application.  The tool will not be publicly accessible and can only be accessed by a very limited number of authorized system administrators 
connecting via a VPN.","Continuous Integration",Approved,Server,2022-10-21
"Articulate 360 Teams","The software will allow our training program to create content that is usable on the OLU/CAPE Learning Management System as well as the FAITAS and future Cornerstone on Demand Learning Management System platforms.","Multimedia Content Management",Approved,Desktop,2022-10-21
"Articulate Storyline 360","Currently we use Articulate Storyline 2, however, our vendors use the updated version of Articulate 360. In order for us to be able to update our curriculum in house after it's been developed, we need to use Articulate 360.","Multimedia Content Management",Approved,SaaS,2022-02-20
"Aspose.Words for Java","The ROCIS system has a need for a Java-based workflow using word documents. I checked GEARS and there is not a comparable solution available.  Word documents will be used for ROCIS agenda review, for our federal customers especially the WH counsels.  The requirement involves generating word documents, comment extraction, and modifications.  There is only one JAVA solution that can effectively process the workflows through our UNIX servers using MS Word.  The tool will be implemented on app servers running on Unix based Solaris and Linux machines behind the ROCIS DMZ.","Development Tool",Approved,Server,2023-09-13
