domain_name,domain_type,agency,city,state,city_state,country,the_geom
SRMT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Akwesasne,NY,AKWESASNE NY,United States,0101000020E6100000F25CDF8783A452C04757E9EE3A854640
ABSECONNJ.GOV,City,Non-Federal Agency,Absecon,NJ,"ABSECON, NJ",United States,0101000020E610000036936FB6B99F52C050FC1873D7B64340
MRCOG-NM.GOV,State/Local Govt,Non-Federal Agency,Albuquerque,NM,ALBUQUERQUE NM,United States,0101000020E6100000BCDA40704BAB5AC0EEAE58688C8A4140
ACCESSPRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,NJ,"PRINCETON, NJ",United States,0101000020E6100000AE81AD122C1A54C0B6DB2E34D7893940
ALBUQUERQUE-NM.GOV,State/Local Govt,Non-Federal Agency,Albuquerque,NM,ALBUQUERQUE NM,United States,0101000020E6100000BCDA40704BAB5AC0EEAE58688C8A4140
UGOV.GOV,Federal Agency,Director of National Intelligence,Fort Meade,MD,"FORT MEADE, MD",United States,0101000020E6100000FDD98F14912F53C0FD87F4DBD78D4340
ACTON-MA.GOV,City,Non-Federal Agency,Acton,MA,"ACTON, MA",United States,0101000020E6100000A4198BA6B3DB51C0EECEDA6D173E4540
NMCOURT.FED.US,Federal Agency,The Judicial Branch (Courts),Albuquerque,NM,ALBUQUERQUE NM,United States,0101000020E6100000BCDA40704BAB5AC0EEAE58688C8A4140
ACTONMA.GOV,City,Non-Federal Agency,Acton,MA,"ACTON, MA",United States,0101000020E6100000A4198BA6B3DB51C0EECEDA6D173E4540
IHS.GOV,Federal Agency,Department of Health And Human Services,Albuquerque,NM,ALBUQUERQUE NM,United States,0101000020E6100000BCDA40704BAB5AC0EEAE58688C8A4140
ADAK-AK.GOV,City,Non-Federal Agency,Adak,AK,"ADAK, AK",United States,0101000020E6100000C959D8D30E1566C0713D0AD7A3F04940
OSIS.GOV,Federal Agency,Director of National Intelligence,Fort Meade,MD,"FORT MEADE, MD",United States,0101000020E6100000FDD98F14912F53C0FD87F4DBD78D4340
SANDIA.GOV,Federal Agency,Department of Energy,Albuquerque,NM,ALBUQUERQUE NM,United States,0101000020E6100000BCDA40704BAB5AC0EEAE58688C8A4140
ADAMN.GOV,City,Non-Federal Agency,Ada,MN,"ADA, MN",United States,0101000020E610000065E42CEC692B58C0ACE28DCC23634140
DOEAL.GOV,Federal Agency,Department of Energy,Albuquerque,NM,ALBUQUERQUE NM,United States,0101000020E6100000BCDA40704BAB5AC0EEAE58688C8A4140
STMARYSGA.GOV,City,Non-Federal Agency,Saint Marys,GA,"SAINT MARYS, GA",United States,0101000020E6100000D46531B1F96254C0A5660FB402BB3E40
ADDISONTX.GOV,City,Non-Federal Agency,Addison,TX,"ADDISON, TX",United States,0101000020E61000005743E21E4BFF55C073D712F241F74440
CABQ.GOV,City,Non-Federal Agency,Albuquerque,NM,ALBUQUERQUE NM,United States,0101000020E6100000BCDA40704BAB5AC0EEAE58688C8A4140
WESTFELICIANAPARISH-LA.GOV,County,Non-Federal Agency,Saint Francisville,LA,"SAINT FRANCISVILLE, LA",United States,0101000020E61000006ABC749318D856C08126C286A7C73E40
ADRIANMI.GOV,City,Non-Federal Agency,Adrian,MI,"ADRIAN, MI",United States,0101000020E61000001C9947FE600255C02D431CEBE2F24440
BERNCO.GOV,City,Non-Federal Agency,Albuquerque,NM,ALBUQUERQUE NM,United States,0101000020E6100000BCDA40704BAB5AC0EEAE58688C8A4140
LGO-VI.GOV,State/Local Govt,Non-Federal Agency,Saint Thomas,VI,"SAINT THOMAS, VI",United States,0101000020E61000004A29E8F6925C58C0E57E87A2404F4840
AFTONWYOMING.GOV,City,Non-Federal Agency,Afton,WY,"AFTON, WY",United States,0101000020E6100000E7C6F484253257C0643BDF4F8D734640
ALLENSTOWNNH.GOV,City,Non-Federal Agency,Allenstown,NH,ALLENSTOWN NH,United States,0101000020E61000007D5BB05417D951C0CCEB2D8AC3914540
AKRONOHIO.GOV,City,Non-Federal Agency,Akron,OH,"AKRON, OH",United States,0101000020E61000000113B875376154C00A4B3CA06C8A4440
AQUINNAH-MA.GOV,City,Non-Federal Agency,Aquinnah,MA,AQUINNAH MA,United States,0101000020E6100000B0E2546B61B351C05D797F72CAAA4440
ALAMEDACA.GOV,City,Non-Federal Agency,Alameda,CA,"ALAMEDA, CA",United States,0101000020E6100000F3599E07778F5EC03D49BA66F2E14240
BEAUXARTS-WA.GOV,State/Local Govt,Non-Federal Agency,Beaux Arts Village,WA,BEAUX ARTS VILLAGE WA,United States,0101000020E610000022895E46B18C5EC010AFEB17ECCA4740
BRICKTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Brick,NJ,BRICK NJ,United States,0101000020E61000000FAB894FCB8652C091E56E21D9084440
ALAMOHEIGHTSTX.GOV,City,Non-Federal Agency,Alamo Heights,TX,"ALAMO HEIGHTS, TX",United States,0101000020E6100000DDB5847CD09D58C0F931E6AE257C3D40
CONNECTND.GOV,State/Local Govt,Non-Federal Agency,Bismarck,ND,BISMARCK ND,United States,0101000020E61000004A24D1CB283259C01630815B77674740
GOLDBEACHOREGON.GOV,City,Non-Federal Agency,Gold Beach,OR,GOLDBEACH OR,United States,0101000020E61000002FC37FBA811A5FC006A5C39ED1324540
ALBANYNY.GOV,City,Non-Federal Agency,Albany,NY,"ALBANY, NY",United States,0101000020E610000043908312667052C00803CFBD87534540
NSA.GOV,Federal Agency,Department of Defense,Fort Meade,MD,"FORT MEADE, MD",United States,0101000020E6100000FDD98F14912F53C0FD87F4DBD78D4340
VILLAGEOFHEMPSTEADNY.GOV,City,Non-Federal Agency,Hemsptead,NY,HEMSPTEAD NY,United States,0101000020E61000001DD59FB3BB6752C00F22BEB8F9594440
ALEXANDERCITYAL.GOV,City,Non-Federal Agency,Alexander City,AL,"ALEXANDER CITY, AL",United States,0101000020E610000089D2DEE00B7D55C0698CD651D5784040
CITYOFSTMARYSPA.GOV,State/Local Govt,Non-Federal Agency,Saint Marys,PA,"SAINT MARYS, PA",United States,0101000020E6100000D46531B1F96254C0A5660FB402BB3E40
TOWNOFKENTNY.GOV,City,Non-Federal Agency,Kent Lakes,NY,KENT LAKES NY,United States,0101000020E6100000D6FECEF6E86A52C07FF0EBD165BD4440
ALEXANDRIAVA.GOV,City,Non-Federal Agency,Alexandria,VA,"ALEXANDRIA, VA",United States,0101000020E6100000D061BEBC004353C09E4143FF04674340
HAMILTONCOUNTYNY.GOV,County,Non-Federal Agency,Lake Pleasant,NY,LAKE PLEASANT NY,United States,0101000020E61000009B1430CB689A52C04113BC7C46BC4540
MYSC.GOV,State/Local Govt,Non-Federal Agency,Columbia,SC,COLUMBIA SC,United States,0101000020E6100000B8E4B8533A4254C0DC63E94317004140
UNDERHILLVT.GOV,City,Non-Federal Agency,Underhill,VT,"UNDERHILL, VT",United States,0101000020E6100000FC1D8A027D3C52C06CCF2C0950434640
ALGONAWA.GOV,City,Non-Federal Agency,Algona,WA,"ALGONA, WA",United States,0101000020E610000017D4B7CCE98E57C0BED9E6C6F4884540
ARTREASURY.GOV,State/Local Govt,Non-Federal Agency,Little Rock,AR,LITLTE ROCK AR,United States,0101000020E6100000D23AAA9AA01557C066D24B31AC5C4140
IAD.GOV,Federal Agency,Department of Defense,Fort Meade,MD,FORT MEADE MD,United States,0101000020E6100000FDD98F14912F53C0FD87F4DBD78D4340
ALIQUIPPAPA.GOV,City,Non-Federal Agency,Aliquippa,PA,"ALIQUIPPA, PA",United States,0101000020E6100000FA449E245D0F54C0E8305F5E80514440
WESTERNPEQUOT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,MASHANTUCKET CT,United States,0101000020E610000061FBC9181FFE51C092088D60E3BA4440
PEQUOT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,MASHANTUCKET CT,United States,0101000020E610000049B9FB1C1FFE51C092088D60E3BA4440
ALLENTOWNPA.GOV,City,Non-Federal Agency,Allentown,PA,"ALLENTOWN, PA",United States,0101000020E6100000CF49EF1B5FDF52C0E0F3C308E14D4440
MPTN-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,MASHANTUCKET CT,United States,0101000020E610000032772D211FFE51C092088D60E3BA4440
ALLIANCEOH.GOV,City,Non-Federal Agency,Alliance,OH,"ALLIANCE, OH",United States,0101000020E6100000946A9F8EC74654C03E5C72DC29754440
MPGE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,MASHANTUCKET CT,United States,0101000020E61000001A355F251FFE51C092088D60E3BA4440
ALMONTMICHIGAN.GOV,City,Non-Federal Agency,Almont,MI,"ALMONT, MI",United States,0101000020E6100000FE261422E0C254C004ADC090D5754540
MASHANTUCKETWESTERNPEQUOT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,MASHANTUCKET CT,United States,0101000020E610000002F390291FFE51C092088D60E3BA4440
ALSTEADNH.GOV,City,Non-Federal Agency,Alstead,NH,"ALSTEAD, NH",United States,0101000020E61000004968CBB9141752C0E50AEF7211934540
BOWERSDE.GOV,City,Non-Federal Agency,Frederica,DE,"FREDERICA, DE",United States,0101000020E61000002B8716D9CEDD52C0FED478E926814340
MASHANTUCKETPEQUOT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,MASHANTUCKET CT,United States,0101000020E6100000EAB0C22D1FFE51C092088D60E3BA4440
STAFFORDNJ.GOV,City,Non-Federal Agency,Stafford,NJ,STAFFORD NJ,United States,0101000020E6100000CF143AAFB1E357C0F60B76C3B69D3D40
ALTAVISTAVA.GOV,City,Non-Federal Agency,Altavista,VA,"ALTAVISTA, VA",United States,0101000020E6100000111956F146D253C0D1AE42CA4F8E4240
MASHANTUCKET-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,MASHANTUCKET CT,United States,0101000020E6100000D26EF4311FFE51C092088D60E3BA4440
NASA.GOV,Federal Agency,National Aeronautics and Space Administration,Redstone Arsenal,AL,REDSTONE ARSENAL AL,United States,0101000020E610000036E50AEF72A955C0965B5A0D89574140
ALTON-TX.GOV,City,Non-Federal Agency,Alton,TX,"ALTON, TX",United States,0101000020E6100000A453573ECB8B56C0A7E8482EFF714340
MAYAGUEZPR.GOV,City,Non-Federal Agency,Mayaguez,PR,MAYAGUEZ PR,United States,0101000020E6100000461E2D73DFC850C06D5BEF92933A3240
NSWP.GOV,Federal Agency,National Aeronautics and Space Administration,Redstone Arsenal,AL,REDSTONE ARSENAL AL,United States,0101000020E610000036E50AEF72A955C0965B5A0D89574140
ALTUSOK.GOV,City,Non-Federal Agency,Altus,OK,"ALTUS, OK",United States,0101000020E61000002861A6ED5FD558C0594C6C3EAE514140
OTISFIELDME.GOV,City,Non-Federal Agency,Otisfield,ME,OTISFIELD ME,United States,0101000020E6100000F0C91EFC1FA351C08BF9B9A1290B4640
SCIJINKS.GOV,Federal Agency,National Aeronautics and Space Administration,Redstone Arsenal,AL,REDSTONE ARSENAL AL,United States,0101000020E610000036E50AEF72A955C0965B5A0D89574140
ALTUSANDC.GOV,Federal Agency,Department of Defense,Patrick Afb,FL,PATRICK AFB FL,United States,0101000020E6100000ED0676A1DE2654C0F60A0BEE073E3C40
ALVIN-TX.GOV,City,Non-Federal Agency,Alvin,TX,"ALVIN, TX",United States,0101000020E6100000083D9B559FCF57C0DC68006F816C3D40
FRTIBTEST.GOV,Federal Agency,Federal Retirement Thrift Investment Board,Washington,DC,"WASHINGTON, DC",United States,0101000020E610000091B8C7D287605CC0F168E388B5904240
USGEO.GOV,Federal Agency,National Aeronautics and Space Administration,Redstone Arsenal,AL,REDSTONE ARSENAL AL,United States,0101000020E610000036E50AEF72A955C0965B5A0D89574140
AMARILLO.GOV,City,Non-Federal Agency,Amarillo,TX,"AMARILLO, TX",United States,0101000020E61000008C4AEA04347559C023DBF97E6A9C4140
NORTHSIOUXCITY-SD.GOV,City,Non-Federal Agency,North Sioux City,SD,"NORTH SIOUX CITY, SD",United States,0101000020E610000094C151F2EA1E58C008E6E8F17B434540
USANDC.GOV,Federal Agency,Department of Defense,Patrick Afb,FL,PATRICK AFB FL,United States,0101000020E6100000B866E1A1DE2654C0F60A0BEE073E3C40
AFTAC.GOV,Federal Agency,Department of Defense,Patrick Afb,FL,PATRICK AFB FL,United States,0101000020E610000082C64CA2DE2654C0F60A0BEE073E3C40
AMENIANY.GOV,City,Non-Federal Agency,Amenia,NY,"AMENIA, NY",United States,0101000020E61000005A2F8672A26352C086E63A8DB4EC4440
ALADA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,"MONTGOMERY, AL",United States,0101000020E6100000FEF15EB5329355C042EC4CA1F32E4040
AMERICUSGA.GOV,City,Non-Federal Agency,Americus,GA,"AMERICUS, GA",United States,0101000020E6100000CD069964E40E55C05A47551344094040
GULFCOUNTY-FL.GOV,County,Non-Federal Agency,Port St. Joe,FL,PORT ST. JOE FL,United States,0101000020E610000052465C009A5355C0EBABAB02B5CE3D40
AMERYWI.GOV,City,Non-Federal Agency,Amery,WI,"AMERY, WI",United States,0101000020E6100000B324404D2D1757C05E68AED348A74640
MANSFIELDGA.GOV,City,Non-Federal Agency,Mansfield,GA,"MANSFIELD, GA",United States,0101000020E6100000D39FFD48114958C095B7239C16484040
VIVOTE.GOV,State/Local Govt,Non-Federal Agency,Saint Croix,VI,SAINT CROIX VI,Virgin Islands,0101000020E61000006B2920EDFF2E50C0AE450BD0B6BA3140
AMHERSTMA.GOV,City,Non-Federal Agency,Amherst,MA,"AMHERST, MA",United States,0101000020E6100000892991442FB353C0E15D2EE23B7D4540
VITEMA.GOV,State/Local Govt,Non-Federal Agency,Saint Thomas,VI,SAINT THOMAS VI,Virgin Islands,0101000020E61000007C8560B0F63B50C0AB64B61AC8573240
AMHERSTNH.GOV,City,Non-Federal Agency,Amherst,NH,"AMHERST, NH",United States,0101000020E6100000892991442FB353C0E15D2EE23B7D4540
DOTTRAFFICRECORDS.GOV,Federal Agency,Department of Transportation,Washington,DC,"WASHINGTON, DC",United States,0101000020E610000091B8C7D287605CC0F168E388B5904240
VIHFA.GOV,State/Local Govt,Non-Federal Agency,Saint Thomas,VI,SAINT THOMAS VI,Virgin Islands,0101000020E610000046E5CBB0F63B50C0AB64B61AC8573240
AMHERSTVA.GOV,City,Non-Federal Agency,Amherst,VA,"AMHERST, VA",United States,0101000020E6100000892991442FB353C0E15D2EE23B7D4540
VIDOL.GOV,State/Local Govt,Non-Federal Agency,Saint Thomas,VI,SAINT THOMAS VI,Virgin Islands,0101000020E6100000114537B1F63B50C0AB64B61AC8573240
AMITYARKANSAS.GOV,City,Non-Federal Agency,Amity,AR,"AMITY, AR",United States,0101000020E6100000B35E0CE544CD5EC06D904946CE8E4640
CAPNHQ.GOV,Federal Agency,Civil Air Patrol,Montgomery,AL,MONTGOMERY AL,United States,0101000020E6100000FEF15EB5329355C042EC4CA1F32E4040
VIBIR.GOV,State/Local Govt,Non-Federal Agency,Saint Thomas,VI,SAINT THOMAS VI,Virgin Islands,0101000020E6100000DBA4A2B1F63B50C0AB64B61AC8573240
AMSTERDAMNY.GOV,City,Non-Federal Agency,Amsterdam,NY,"AMSTERDAM, NY",United States,0101000020E6100000CBDB114E0B8C52C0878A71FE26784540
USERRA.GOV,Federal Agency,Department of Justice,Potomac,MD,"POTOMAC, MD",United States,0101000020E61000007311DF89594D53C058E2016553824340
VIALERT.GOV,State/Local Govt,Non-Federal Agency,Saint Thomas,VI,SAINT THOMAS VI,Virgin Islands,0101000020E6100000A6040EB2F63B50C0AB64B61AC8573240
ANDOVERMA.GOV,City,Non-Federal Agency,Andover,MA,"ANDOVER, MA",United States,0101000020E610000011018750A55257C012143FC6DC9D4640
OPALOCKAFL.GOV,City,Non-Federal Agency,Opa-locka,FL,OPA-LOCKA FL,United States,0101000020E61000004BCD1E68051054C0D7868A71FEE63940
VI.GOV,State/Local Govt,Non-Federal Agency,Saint Thomas,VI,SAINT THOMAS VI,Virgin Islands,0101000020E6100000706479B2F63B50C0AB64B61AC8573240
ANDOVERMN.GOV,City,Non-Federal Agency,Andover,MN,"ANDOVER, MN",United States,0101000020E610000011018750A55257C012143FC6DC9D4640
CHIPPEWACOUNTYMI.GOV,State/Local Govt,Non-Federal Agency,Sault Ste Marie,MI,SAULT STE MARIE MI,United States,0101000020E6100000264575841D1855C0EB6B02B1113E4740
FLWG.GOV,State/Local Govt,Non-Federal Agency,Opa-locka,FL,OPA-LOCKA FL,United States,0101000020E61000004BCD1E68051054C0D7868A71FEE63940
AMERICANSAMOA.GOV,State/Local Govt,Non-Federal Agency,Pago Pago,AS,PAGO PAGO AS,American Samoa,0101000020E610000014AE47E17A5665C0CAA65CE15D8E2CC0
ANGELFIRENM.GOV,City,Non-Federal Agency,Angel Fire,NM,"ANGEL FIRE, NM",United States,0101000020E61000001C42959A3D525AC03C31EBC550324240
JEM.GOV,Federal Agency,Department of the Interior,Lafayette,LA,"LAFAYETTE, LA",United States,0101000020E6100000C5C9FD0E450157C0535C55F65D393E40
TISBURYMA.GOV,City,Non-Federal Agency,Tisbury,MA,TISBURY MA,United States,0101000020E6100000A1C26C5DC5A751C0A4D8767F61B94440
AS.GOV,State/Local Govt,Non-Federal Agency,Pago Pago,AS,PAGO PAGO AS,American Samoa,0101000020E610000014AE47E17A5665C0CAA65CE15D8E2CC0
TOWERLAKES-IL.GOV,State/Local Govt,Non-Federal Agency,Tower Lakes,IL,TOWER LAKES IL,United States,0101000020E6100000AC38D55A980956C0B435C75E941D4540
ANKENYIOWA.GOV,City,Non-Federal Agency,Ankeny,IA,"ANKENY, IA",United States,0101000020E610000078B988EFC46657C036C8242367DD4440
ASEPA.GOV,State/Local Govt,Non-Federal Agency,Pago Pago,AS,PAGO PAGO AS,American Samoa,0101000020E610000014AE47E17A5665C0CAA65CE15D8E2CC0
SWPA.GOV,Federal Agency,Department of Energy,Tulsa,OK,TULSA OK,United States,0101000020E6100000AC38D55A980956C0B435C75E941D4540
ANNATEXAS.GOV,City,Non-Federal Agency,Anna,TX,"ANNA, TX",United States,0101000020E61000007AA52C431C2358C0E9263108ACAC4040
EPA.GOV,Federal Agency,Environmental Protection Agency,Durham,NC,"DURHAM, NC",United States,0101000020E610000004E275FD82B953C0179F02603CFF4140
FEDERALINVESTMENTS.GOV,Federal Agency,Department of the Treasury,Parkersburg,WV,PARKERSBURG WV,United States,0101000020E61000002098A3C7EF6354C07C444C8924A24340
TYNGSBOROUGHMA.GOV,City,Non-Federal Agency,Tyngsborough,MA,TYNGSBOROUGH MA,United States,0101000020E6100000A81DFE9AACDB51C0677DCA3159544540
ANNISTONAL.GOV,City,Non-Federal Agency,Anniston,AL,"ANNISTON, AL",United States,0101000020E6100000D717096D397555C0B875374F75D44040
OAKRIDGETN.GOV,City,Non-Federal Agency,Oak Ridge,TN,"OAK RIDGE, TN",United States,0101000020E6100000616C21C8411155C0E197FA7953014240
UXBRIDGE-MA.GOV,City,Non-Federal Agency,Uxbridge,MA,UXBRIDGE MA,United States,0101000020E610000021F3B7F333E951C00243FBFD07084540
APPLEVALLEYCA.GOV,City,Non-Federal Agency,Apple Valley,CA,"APPLE VALLEY, CA",United States,0101000020E6100000C03E3A75E54B5DC0876D8B321B404140
WASHINGTONISLAND-WI.GOV,City,Non-Federal Agency,Washington Island,WI,WASHINGTON ISLAND WI,United States,0101000020E61000008884EFFD8DB955C0A7FD7B9521B04640
APPLEVALLEYUT.GOV,City,Non-Federal Agency,Apple Valley,UT,"APPLE VALLEY, UT",United States,0101000020E6100000C03E3A75E54B5DC0876D8B321B404140
USEMBASSY-MEXICO.GOV,Federal Agency,Department of State,Mexico City,Mexico,"MEXICO CITY, MEXICO",Mexico,0101000020E61000007940D9942BC858C02F51BD35B06D3340
WESTAMPTONNJ.GOV,City,Non-Federal Agency,Westampton,NJ,WESTAMPTON NJ,United States,0101000020E61000009AF8591B99B452C0D5E4CEF176024440
APPOMATTOXVA.GOV,City,Non-Federal Agency,Appomattox,VA,"APPOMATTOX, VA",United States,0101000020E6100000D0ED258DD1B453C044DD0720B5AD4240
AZ511.GOV,State/Local Govt,Non-Federal Agency,Phoenix,AZ,PHOENIX AZ,United States,0101000020E610000022A64412BD045CC01A170E8464B94040
AZHC.GOV,State/Local Govt,Non-Federal Agency,Phoenix,AZ,PHOENIX AZ,United States,0101000020E610000022A64412BD045CC01A170E8464B94040
ARANSASPASSTX.GOV,City,Non-Federal Agency,Aransas Pass,TX,"ARANSAS PASS, TX",United States,0101000020E6100000882EA86F994958C070B1A206D3E83B40
AZ.GOV,State/Local Govt,Non-Federal Agency,Phoenix,AZ,PHOENIX AZ,United States,0101000020E610000022A64412BD045CC01A170E8464B94040
ARCADIA-FL.GOV,City,Non-Federal Agency,Arcadia,FL,"ARCADIA, FL",United States,0101000020E6100000670FB40243825DC0922232ACE2114140
POQUOSON-VA.GOV,City,Non-Federal Agency,Poquoson,VA,POQUOSON VA,United States,0101000020E610000019E76F42211653C07901F6D1A98F4240
ARCADIACA.GOV,City,Non-Federal Agency,Arcadia,CA,"ARCADIA, CA",United States,0101000020E6100000670FB40243825DC0922232ACE2114140
ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald,PA,"ARCHBALD, PA",United States,0101000020E6100000E3361AC05BE252C0C8073D9B55BF4440
MQUEBRADILLASPR.GOV,City,Non-Federal Agency,Quebradillas,PR,QUEBRADILLAS PR,Puerto Rico,0101000020E6100000033E3F8C10BC50C01ADD41EC4C793240
ARKANSASCITYKS.GOV,City,Non-Federal Agency,Arkansas City,KS,"ARKANSAS CITY, KS",United States,0101000020E610000071C971A7744258C0A4AA09A2EE874240
ARLINGTON-TX.GOV,City,Non-Federal Agency,Arlington,TX,"ARLINGTON, TX",United States,0101000020E61000001F680586AC4653C078B988EFC4704340
MESAGRANDEBAND-NSN.GOV,Native Sovereign Nation,Indian Affairs,Santa Ysabel,CA,SANTA YSABEL CA,United States,0101000020E6100000DEE522BE132B5DC0B532E197FA8D4040
ARLINGTONMA.GOV,City,Non-Federal Agency,Arlington,MA,"ARLINGTON, MA",United States,0101000020E61000001F680586AC4653C078B988EFC4704340
ARLINGTONTX.GOV,City,Non-Federal Agency,Arlington,TX,"ARLINGTON, TX",United States,0101000020E61000001F680586AC4653C078B988EFC4704340
NMSC.GOV,Federal Agency,Department of Homeland Security,Saint Augustine,FL,SAINT AUGUSTINE FL,United States,0101000020E6100000077C7E18215454C0E90E62670AE53D40
ARLINGTONWA.GOV,City,Non-Federal Agency,Arlington,WA,"ARLINGTON, WA",United States,0101000020E61000001F680586AC4653C078B988EFC4704340
ARTESIANM.GOV,City,Non-Federal Agency,Artesia,NM,"ARTESIA, NM",United States,0101000020E61000002F698CD651855DC0ED9E3C2CD4EE4040
ARTHUR-IL.GOV,City,Non-Federal Agency,Arthur,IL,"ARTHUR, IL",United States,0101000020E610000083A3E4D5391E56C0963E74417DDB4340
CLINTONNJ.GOV,City,Non-Federal Agency,Clinton,NJ,"CLINTON, NJ",United States,0101000020E6100000EDBB22F8DFBA54C0FAB31F29224B4540
ASHBURNHAM-MA.GOV,City,Non-Federal Agency,Ashburnham,MA,"ASHBURNHAM, MA",United States,0101000020E61000001CEBE2361AFA51C08CDB68006F514540
ASHBYMA.GOV,City,Non-Federal Agency,Ashby,MA,"ASHBY, MA",United States,0101000020E61000008351499D80F451C04278B471C4564540
ASHEBORONC.GOV,City,Non-Federal Agency,Asheboro,NC,"ASHEBORO, NC",United States,0101000020E6100000EBAD81AD12F453C074417DCB9CDA4140
ASHGROVEMO.GOV,City,Non-Federal Agency,Ash Grove,MO,"ASH GROVE, MO",United States,0101000020E6100000A167B3EA736557C04EB9C2BB5CA84240
INTELINK.GOV,Federal Agency,Director of National Intelligence,Fort Meade,MD,"FORT MEADE, MD",United States,0101000020E6100000FDD98F14912F53C0FD87F4DBD78D4340
ASHLANDCITYTN.GOV,City,Non-Federal Agency,Ashland City,TN,"ASHLAND CITY, TN",United States,0101000020E610000099D87C5C1BC455C05EF415A419234240
ASHLANDKY.GOV,City,Non-Federal Agency,Ashland,KY,"ASHLAND, KY",United States,0101000020E610000093A9825149875EC04D158C4AEAD84240
AZCORPCOMM.GOV,State/Local Govt,Non-Federal Agency,Phoenix,AZ,"PHOENIX, AZ",United States,0101000020E610000022A64412BD045CC01A170E8464B94040
ANGELSCAMP.GOV,City,Non-Federal Agency,Angels Camp,CA,"ANGELS CAMP, CA",United States,0101000020E6100000545227A089225EC0FFCF61BEBC084340
