Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
ALLENDALENJ.GOV,City,Non-Federal Agency,Borough of Allendale,Allendale,NJ,jim@cobancomputers.com
ALLENSTOWNNH.GOV,City,Non-Federal Agency,Town of Allenstown,Allenstown,NH,TA@allenstownnh.gov
ALLENTOWNPA.GOV,City,Non-Federal Agency,City of Allentown,Allentown,PA,(blank)
ALLIANCEOH.GOV,City,Non-Federal Agency,City of Alliance,Alliance,OH,(blank)
ALMAARKANSAS.GOV,City,Non-Federal Agency,City of Alma,Alma,AR,cityinfo@cityofalma.org
ALMONTMICHIGAN.GOV,City,Non-Federal Agency,Village of Almont,Almont,MI,(blank)
ALTAVISTAVA.GOV,City,Non-Federal Agency,Town of Altavista,Altavista,VA,(blank)
ALTON-TX.GOV,City,Non-Federal Agency,City of Alton,Alton,TX,(blank)
ALTOONAPA.GOV,City,Non-Federal Agency,City of Altoona,Altoona,PA,(blank)
ALTUSOK.GOV,City,Non-Federal Agency,City of Altus,Altus,OK,(blank)
ALVIN-TX.GOV,City,Non-Federal Agency,"City of Alvin, Texas",Alvin,TX,(blank)
AMARILLO.GOV,City,Non-Federal Agency,City of Amarillo ,Amarillo,TX,(blank)
AMENIANY.GOV,City,Non-Federal Agency,Town of Amenia,Amenia,NY,(blank)
AMERICANFORK.GOV,City,Non-Federal Agency,American Fork City,American Fork,UT,george@afcity.net
AMERICUSGA.GOV,City,Non-Federal Agency,City of Americus,Americus,GA,(blank)
AMERYWI.GOV,City,Non-Federal Agency,City of Amery,Amery,WI,(blank)
AMESBURYMA.GOV,City,Non-Federal Agency,Town of Amesbury,Amesbury,MA,dubucj@amesburyma.gov
AMHERSTMA.GOV,City,Non-Federal Agency,Town of Amherst,Amherst,MA,(blank)
AMHERSTNH.GOV,City,Non-Federal Agency,Town of Amherst,Amherst,NH,(blank)
AMHERSTVA.GOV,City,Non-Federal Agency,Town of Amherst,Amherst,VA,(blank)
AMSTERDAMNY.GOV,City,Non-Federal Agency,City of Amsterdam,Amsterdam,NY,(blank)
ANACORTESWA.GOV,City,Non-Federal Agency,City of Anacortes,Anacortes,WA,(blank)
ANCHORAGEAK.GOV,City,Non-Federal Agency,Municipality of Anchorage,Anchorage,AK,(blank)
ANDERSONTX.GOV,City,Non-Federal Agency,Town of Anderson,aNDERSON,TX,(blank)
ANDOVER-NH.GOV,City,Non-Federal Agency,TOWN OF ANDOVER,Andover,NH,(blank)
ANDOVERMA.GOV,City,Non-Federal Agency,Town of Andover,Andover,MA,platform.team@andoverma.us
ANDOVERMN.GOV,City,Non-Federal Agency,City of Andover,Andover,MN,webmaster@andovermn.gov
ANGELFIRENM.GOV,City,Non-Federal Agency,Village of Angel Fire,Angel Fire,NM,(blank)
ANGELSCAMP.GOV,City,Non-Federal Agency,City of Angels ,City of Angels Camp,CA,(blank)
ANKENYIOWA.GOV,City,Non-Federal Agency,City of Ankeny,Ankeny,IA,(blank)
ANNAPOLIS.GOV,City,Non-Federal Agency,City of Annapolis,Annapolis,MD,(blank)
ANNAPOLISMD.GOV,City,Non-Federal Agency,City of Annapolis,Annapolis,MD,(blank)
ANNATEXAS.GOV,City,Non-Federal Agency,City of Anna,Anna,TX,(blank)
ANNETTATX.GOV,City,Non-Federal Agency,Town of Annetta,Aledo,TX,(blank)
ANNISTONAL.GOV,City,Non-Federal Agency,"City of Anniston, Alabama",Anniston,AL,mbushard@annistonal.gov
ANTIOCHCA.GOV,City,Non-Federal Agency,City of Antioch,Antioch,CA,(blank)
ANTIOCHCABOARD.GOV,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us
ANTIOCHCACOMMISSION.GOV,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us
ANTIOCHCACOMMITTEE.GOV,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us
ANTIOCHTOWNSHIPIL.GOV,City,Non-Federal Agency,Antioch Township,Lake Villa,IL,(blank)
APACHEJUNCTIONAZ.GOV,City,Non-Federal Agency,City of Apache Junction,Apache Junction,AZ,(blank)
APPLEVALLEYCA.GOV,City,Non-Federal Agency,Town of Apple Valley,Apple Valley,CA,webmaster@applevalley.org
APPLEVALLEYMN.GOV,City,Non-Federal Agency,City of Apple Valley,Apple Valley,MN,nbang@ci.apple-valley.mn.us
APPLEVALLEYUT.GOV,City,Non-Federal Agency,Town of Apple Valley,Apple Valley,UT,mayor@applevalleyut.gov
APPOMATTOXVA.GOV,City,Non-Federal Agency,Town of Appomattox,Appomattox,VA,(blank)
APTX.GOV,City,Non-Federal Agency,City of Aransas Pass,Aransas Pass,TX,doffalter@aransaspasstx.gov
AQUINNAH-MA.GOV,City,Non-Federal Agency,Town of Aquinnah,Aquinnah,MA,(blank)
ARANSASPASSTX.GOV,City,Non-Federal Agency,City of Aransas Pass,Aransas Pass,TX,(blank)
ARCADIA-FL.GOV,City,Non-Federal Agency,City of Arcadia,Arcadia,FL,(blank)
ARCADIACA.GOV,City,Non-Federal Agency,City of Arcadia,Arcadia,CA,wluo@arcadiaca.gov
ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald Borough,Archbald,PA,(blank)
ARCHDALE-NC.GOV,City,Non-Federal Agency,City of Archdale,ARCHDALE,NC,_it@archdale-nc.gov
ARCHERLODGENC.GOV,City,Non-Federal Agency,Town of Archer Lodge,Archer Lodge,NC,(blank)
ARKADELPHIA.GOV,City,Non-Federal Agency,City of Arkadelphia,Arkadelphia,AR,(blank)
ARKANSASCITYKS.GOV,City,Non-Federal Agency,City of Arkansas City,Arkansas City,KS,security@arkansascityks.gov
ARLINGTON-TX.GOV,City,Non-Federal Agency,"City of Arlington, Texas",Arlington,TX,itregistrar@arlingtontx.gov
ARLINGTONMA.GOV,City,Non-Federal Agency,Town of Arlington,Arlington,MA,security@town.arlington.ma.us
ARLINGTONNE.GOV,City,Non-Federal Agency,Village of Arlington,Arlington,NE,cityclerk@arlingtonne.org
ARLINGTONTX.GOV,City,Non-Federal Agency,"City of Arlington, Texas",Arlington,TX,itregistrar@arlingtontx.gov
ARLINGTONWA.GOV,City,Non-Federal Agency,City of Arlington Washington,Arlington,WA,(blank)
ARTESIANM.GOV,City,Non-Federal Agency,City of Artesia,Artesia,NM,jrherrera@artesianm.gov
ARTHUR-IL.GOV,City,Non-Federal Agency,"Village of Arthur, IL",Arthur,IL,(blank)
ASHBURNHAM-MA.GOV,City,Non-Federal Agency,Town of Ashburnham,Ashburnham,MA,(blank)
ASHBYMA.GOV,City,Non-Federal Agency,Town of Ashby,Ashby,MA,(blank)
ASHEBORONC.GOV,City,Non-Federal Agency,City of Asheboro,Asheboro,NC,(blank)
ASHEVILLENC.GOV,City,Non-Federal Agency,City of Asheville,Asheville,NC,pscruggs@ashevillenc.gov
ASHGROVEMO.GOV,City,Non-Federal Agency,City of Ash Grove,Ash Grove,MO,(blank)
ASHLANDCITYTN.GOV,City,Non-Federal Agency,Town of Ashland City,Ashland City,TN,(blank)
ASHLANDKY.GOV,City,Non-Federal Agency,"The City of Ashland, KY",Ashland,KY,support@ashlandky.gov
ASHLANDVA.GOV,City,Non-Federal Agency,"Town of Ashland, VA",Ashland,VA,mreynal@ashlandva.gov
ASHVILLEOHIO.GOV,City,Non-Federal Agency,Village of Ashville,Ashville,OH,fchristman@ashvilleohio.gov
ATHENSTN.GOV,City,Non-Federal Agency,City of Athens,Athens,TN,technologymanager@cityofathenstn.com
ATHENSTX.GOV,City,Non-Federal Agency,City of Athens,Athens,TX,webregistrar@athenstx.gov
ATHOL-MA.GOV,City,Non-Federal Agency,Town of Athol,Athol,MA,(blank)
ATKINSON-NH.GOV,City,Non-Federal Agency,Town of Atkinson,Atkinson,NH,support@block5.com
ATLANTAGA.GOV,City,Non-Federal Agency,City of Atlanta,Atlanta,GA,tmunyengango@atlantaga.gov
ATLANTISFL.GOV,City,Non-Federal Agency,City of Atlantis,Atlantis,FL,mlegall@atlantisfl.gov
ATTICA-IN.GOV,City,Non-Federal Agency,City of Attica,Attica,IN,(blank)
AUBREYTX.GOV,City,Non-Federal Agency,City of Aubrey,Aubrey,TX,(blank)
AUBURNMAINE.GOV,City,Non-Federal Agency,"City of Auburn, Maine",Auburn,ME,(blank)
AUBURNNY.GOV,City,Non-Federal Agency,City of Auburn,Auburn,NY,(blank)
AUBURNWA.GOV,City,Non-Federal Agency,City of Auburn,Auburn,WA,servicedesk@auburnwa.gov
AUGUSTAGA.GOV,City,Non-Federal Agency,City of Augusta,Augusta,GA,(blank)
AUGUSTAMAINE.GOV,City,Non-Federal Agency,City of Augusta,Augusta,ME,mike.schriver@augustamaine.gov
AURORAMO.GOV,City,Non-Federal Agency,City of Aurora,Aurora,MO,(blank)
AURORATEXAS.GOV,City,Non-Federal Agency,City of Aurora Texas,Rhome,TX,cityadministrator@auroratexas.gov
AUSTELLGA.GOV,City,Non-Federal Agency,City of Austell ,Austell,GA,(blank)
AUSTIN.GOV,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov
AUSTINTEXAS.GOV,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov
AUSTINTX.GOV,City,Non-Federal Agency,City of Austin,Austin,TX,csirt@austintexas.gov
AVON-MA.GOV,City,Non-Federal Agency,Town of Avon,Avon,MA,(blank)
AVONCT.GOV,City,Non-Federal Agency,Town of Avon,Avon,CT,(blank)
AVONDALEAZ.GOV,City,Non-Federal Agency,City of Avondale,Avondale,AZ,(blank)
AVONDALEESTATESGA.GOV,City,Non-Federal Agency,Avondale Estates,Avondale Estates,GA,security@avondaleestates.org
AZ-FHSD.GOV,City,Non-Federal Agency,Fountain Hills Sanitary District,Fountain Hills,AZ,(blank)
AZTECNM.GOV,City,Non-Federal Agency,City of Aztec,Aztec,NM,(blank)
AZUSACA.GOV,City,Non-Federal Agency,City of Azusa,AZUSA,CA,(blank)
BADENPA.GOV,City,Non-Federal Agency,Borough of Baden,Baden,PA,(blank)
BAINBRIDGEWA.GOV,City,Non-Federal Agency,City of Bainbridge Island,Bainbridge Island,WA,(blank)
BAKERSFIELD-CA.GOV,City,Non-Federal Agency,City of Bakersfield,Bakersfield,CA,(blank)
BALDWINCITY.GOV,City,Non-Federal Agency,"City of Baldwin City, KS",Baldwin City,KS,postmaster@baldwincity.org
BALHARBOURFL.GOV,City,Non-Federal Agency,Bal Harbour Village,Bal Harbour,FL,(blank)
BALTIMORECITY.GOV,City,Non-Federal Agency,Mayor's Office of Information Technology,Baltimore,MD,(blank)
BANGORMAINE.GOV,City,Non-Federal Agency,City of Bangor,Bangor,ME,(blank)
BANNINGCA.GOV,City,Non-Federal Agency,City of Banning,Banning,CA,support@ci.banning.ca.us
BARDSTOWNKY.GOV,City,Non-Federal Agency,City Of Bardstown,Bardstown,KY,(blank)
BARHARBORMAINE.GOV,City,Non-Federal Agency,Town of Bar Harbor,Bar Harbor,ME,(blank)
BARLINGAR.GOV,City,Non-Federal Agency,City of Barling,Barling,AR,(blank)
BARRINGTON-IL.GOV,City,Non-Federal Agency,Village of Barrington,Barrington,IL,(blank)
BARRINGTONHILLS-IL.GOV,City,Non-Federal Agency,Village of Barrington Hills,Barrington Hills,IL,(blank)
BASSLAKEWI.GOV,City,Non-Federal Agency,Town of Bass Lake,Hayward,WI,ericaw@basslakewi.gov
BATONROUGELA.GOV,City,Non-Federal Agency,City of Baton Rouge / Parish of East Baton Rouge,Baton Rouge,LA,(blank)
BATTLECREEKMI.GOV,City,Non-Federal Agency,City of Battle Creek,Battle Creek,MI,sevanwormer@battlecreekmi.gov
BATTLEFIELDMO.GOV,City,Non-Federal Agency,City of Battlefield,Battlefield,MO,(blank)
BAXTERMN.GOV,City,Non-Federal Agency,City of Baxter,Baxter,MN,(blank)
BAYHARBORISLANDS-FL.GOV,City,Non-Federal Agency,TOWN OF BAY HARBOR ISLANDS,bay harbor islands,FL,(blank)
BAYSIDE-WI.GOV,City,Non-Federal Agency,Village of Bayside,Bayside,WI,rfoscato@baysidewi.gov
BAYSIDEWI.GOV,City,Non-Federal Agency,Village of Bayside,Bayside,WI,dhaley@baysidewi.gov
BAYSTLOUIS-MS.GOV,City,Non-Federal Agency,City of Bay St. Louis,Bay St. Louis,MS,(blank)
BAYVILLENY.GOV,City,Non-Federal Agency,Incorporated Village of Bayville,Bayville,NY,(blank)
BEACHHAVEN-NJ.GOV,City,Non-Federal Agency,Borough of Beach Haven,Beach Haven,NJ,(blank)
BEAUMONT-CA.GOV,City,Non-Federal Agency,"City of Beaumont, California",Beaumont,CA,(blank)
BEAUMONTCA.GOV,City,Non-Federal Agency,City of Beaumont,Beaumont,CA,(blank)
BEAUMONTTEXAS.GOV,City,Non-Federal Agency,City of Beaumont,Beaumont,TX,webmaster@beaumonttexas.gov
BEAUXARTS-WA.GOV,City,Non-Federal Agency,Town of Beaux Arts Village,Beaux Arts,WA,(blank)
BEAVERCREEKOHIO.GOV,City,Non-Federal Agency,City of Beavercreek,Beavercreek,OH,(blank)
BEAVERPA.GOV,City,Non-Federal Agency,Borough of Beaver,Beaver,PA,(blank)
BEAVERTONOREGON.GOV,City,Non-Federal Agency,City of Beaverton,Beaverton,OR,webmanager@beavertonoregon.gov
BEAVERTWP-OH.GOV,City,Non-Federal Agency,Beaver Township,North Lima,OH,(blank)
BECKEMEYERIL.GOV,City,Non-Federal Agency,City of Beckemeyer,Beckemeyer,IL,villageofbec@ezeeweb.com
BEDFORDCHARTERTWPMI.GOV,City,Non-Federal Agency,Charter Township of Bedford,Battle Creek,MI,michael@crtglobal.com
BEDFORDHEIGHTS.GOV,City,Non-Federal Agency,City of Bedford Heights,Bedford Heights,OH,(blank)
BEDFORDMA.GOV,City,Non-Federal Agency,Town of Bedford,Bedford,MA,(blank)
BEDFORDNY.GOV,City,Non-Federal Agency,Town of Bedford,Bedford Hills,NY,(blank)
BEDFORDOH.GOV,City,Non-Federal Agency,City of Bedford,Bedford,OH,(blank)
BEDFORDTX.GOV,City,Non-Federal Agency,City of Bedford,Bedford,TX,(blank)
BEDFORDVA.GOV,City,Non-Federal Agency,Town of Bedford,Bedford,VA,(blank)
BEECAVETEXAS.GOV,City,Non-Federal Agency,City of Bee Cave,Bee Cave,TX,(blank)
BELAIREKS.GOV,City,Non-Federal Agency,City of Bel Aire,Bel Aire,KS,(blank)
BELEN-NM.GOV,City,Non-Federal Agency,City of Belen,Belen,NM,(blank)
BELLAIRETX.GOV,City,Non-Federal Agency,City of Bellaire,Bellaire,TX,(blank)
BELLAVISTAAR.GOV,City,Non-Federal Agency,City of Bella Vista,Bella Vista,AR,(blank)
BELLEAIRBLUFFS-FL.GOV,City,Non-Federal Agency,City of Belleair Bluffs,Belleair Bluffs,FL,(blank)
BELLEFONTEPA.GOV,City,Non-Federal Agency,Borough of Bellefonte,Bellefonte,PA,(blank)
BELLEISLEFL.GOV,City,Non-Federal Agency,"City of Belle Isle, Florida",Belle Isle,FL,yquiceno@belleislefl.gov
BELLEMEADE-KY.GOV,City,Non-Federal Agency,City of Bellemeade,Louisville,KY,(blank)
BELLERIVEACRESMO.GOV,City,Non-Federal Agency,City of Bellerive Acres,Normandy,MO,(blank)
BELLEVUEIA.GOV,City,Non-Federal Agency,"City of Bellevue, Iowa",Bellevue,IA,emily.medinger@bellevueia.gov
BELLEVUEWA.GOV,City,Non-Federal Agency,City of Bellevue,Bellevue,WA,kban@bellevuewa.gov
BELLPORTVILLAGENY.GOV,City,Non-Federal Agency,Village of Bellport,Bellport,NY,(blank)
BELMONT-MA.GOV,City,Non-Federal Agency,Town of Belmont,Belmont,MA,(blank)
BELMONT.GOV,City,Non-Federal Agency,City of Belmont,Belmont,CA,is@belmont.gov
BELOITWI.GOV,City,Non-Federal Agency,City of Beloit,Beloit,WI,(blank)
BELTONTEXAS.GOV,City,Non-Federal Agency,"City of Belton, TX",Belton,TX,(blank)
BENBROOK-TX.GOV,City,Non-Federal Agency,City of Benbrook,Benbrook,TX,wcooper@benbrook-tx.gov
BENDOREGON.GOV,City,Non-Federal Agency,City of Bend,Bend,OR,Cybersecurityteam@bendoregon.gov
BENSALEMPA.GOV,City,Non-Federal Agency,Bensalem Township,Bensalem,PA,(blank)
BENSONAZ.GOV,City,Non-Federal Agency,City of Benson,Benson,AZ,itsupport@bensonaz.gov
BENTONCHARTERTOWNSHIP-MI.GOV,City,Non-Federal Agency,Benton Charter Township,Benton Harbor,MI,(blank)
BENTONIL.GOV,City,Non-Federal Agency,City of Benton,Benton,IL,clerk@bentonil.gov
BEREAKY.GOV,City,Non-Federal Agency,City of Berea,Berea,KY,(blank)
BERGENFIELDNJPD.GOV,City,Non-Federal Agency,Borough of Bergenfield,Bergenfield,NJ,support@gtbm.com
BERKELEYHEIGHTS.GOV,City,Non-Federal Agency,Township of Berkeley Heights,Berkeley Heights,NJ,lviana@bhtwp.com
BERLINMD.GOV,City,Non-Federal Agency,Town of Berlin,Berlin,MD,mbohlen@berlinmd.gov
BERLINNH.GOV,City,Non-Federal Agency,City of Berlin,Berlin,NH,(blank)
BERNCO.GOV,City,Non-Federal Agency,Bernalillo County,Albuquerque,NM,(blank)
BERRYVILLEVA.GOV,City,Non-Federal Agency,Town of Berryville - Virginia,Berryville,VA,financeclerk@berryvilleva.gov
BERTHOLD-ND.GOV,City,Non-Federal Agency,Berthold North Dakota,Berthold,ND,(blank)
BERWYN-IL.GOV,City,Non-Federal Agency,City of Berwyn,Berwyn,IL,jfrank@berwyn-il.gov
BERWYNHEIGHTSMD.GOV,City,Non-Federal Agency,Town of Berwyn Heights,Berwyn Heights,MD,kharper@berwynheightsmd.gov
BETHANYBEACH-DE.GOV,City,Non-Federal Agency,Town of Bethany Beach,Bethany Beach,DE,(blank)
BETHEL-CT.GOV,City,Non-Federal Agency,"Town Of Bethel, CT",Bethel,CT,(blank)
BETHEL-OH.GOV,City,Non-Federal Agency,Village of Bethel,Bethel,OH,(blank)
BETHLEHEM-PA.GOV,City,Non-Federal Agency,City of Bethlehem,Bethlehem,PA,(blank)
BEVERLYHILLS-CA.GOV,City,Non-Federal Agency,City of Beverly Hills,Beverly Hills,CA,(blank)
BEVERLYHILLSCA.GOV,City,Non-Federal Agency,City of Beverly Hills,Beverly Hills,CA,(blank)
BEVERLYMA.GOV,City,Non-Federal Agency,City of Beverly MA,Beverly,MA,(blank)
BHTX.GOV,City,Non-Federal Agency,City of Balcones Heights,Balcones Heights,TX,(blank)
BIGFLATSNY.GOV,City,Non-Federal Agency,Town of Big Flats,Big Flats,NY,(blank)
BIGGS-CA.GOV,City,Non-Federal Agency,"Biggs, California",Biggs,CA,(blank)
BIGSANDYTX.GOV,City,Non-Federal Agency,City of Big Sandy,Big Sandy,TX,(blank)
BILLINGSMT.GOV,City,Non-Federal Agency,City of Billings,Billings,MT,alertit@ci.billings.mt.us
BILLINGSMTPUBLICWORKS.GOV,City,Non-Federal Agency,City of Billings Public Works Department,Billings,MT,(blank)
BINGHAMTON-NY.GOV,City,Non-Federal Agency,City of Binghamton,Binghamton,NY,(blank)
BIRMINGHAMAL.GOV,City,Non-Federal Agency,City of Birmingham,Birmingham,AL,adminnotify@birminghamal.gov
BIRMINGHAMAL911.GOV,City,Non-Federal Agency,Birmingham Emergency Communication District,Birmingham,AL,security@birminghamal911.gov
BISBEEAZ.GOV,City,Non-Federal Agency,City of Bisbee,Bisbee,AZ,jeffery.stuck@executech.com
BISCAYNEPARKFL.GOV,City,Non-Federal Agency,Village of Biscayne Park,Biscayne Park,FL,(blank)
BISMARCKND.GOV,City,Non-Federal Agency,City of BIsmarck,Bismarck,ND,(blank)
BIXBYOK.GOV,City,Non-Federal Agency,City of Bixby,Bixby,OK,WebServicesAdmin@bixbyok.gov
BLACKDIAMONDWA.GOV,City,Non-Federal Agency,City of Black Diamond,Black Diamond,WA,(blank)
BLACKSBURG.GOV,City,Non-Federal Agency,Town of Blacksburg,Blacksburg,VA,tddeptstaff@blacksburg.gov
BLADENSBURGMD.GOV,City,Non-Federal Agency,Town of Bladensburg,Bladensburg,MD,(blank)
BLAINEMN.GOV,City,Non-Federal Agency,City of Blaine,Blaine,MN,brotting@blainemn.gov
BLAINETN.GOV,City,Non-Federal Agency,City of Blaine,Blaine,TN,htw62488@gmail.com
BLAIRSVILLE-GA.GOV,City,Non-Federal Agency,City of Blairsville,Blairsville,GA,(blank)
BLANDING-UT.GOV,City,Non-Federal Agency,City of Blanding,Blanding,UT,(blank)
BLENDONTOWNSHIP-MI.GOV,City,Non-Federal Agency,Blendon Township ,Hudsonville,MI,(blank)
BLISSFIELDMICHIGAN.GOV,City,Non-Federal Agency,Village of Blissfield,Blissfield,MI,(blank)
BLOOMFIELD-CT.GOV,City,Non-Federal Agency,TOWN OF BLOOMFIELD CT,BLOOMFIELD,CT,(blank)
BLOOMFIELDCT.GOV,City,Non-Federal Agency,"TOWN OF BLOOMFIELD, CT",BLOOMFIELD,CT,(blank)
BLOOMFIELDNM.GOV,City,Non-Federal Agency,"City of Bloomfield, NM",Bloomfield,NM,(blank)
BLOOMINGDALE-GA.GOV,City,Non-Federal Agency,City of Bloomingdale,Bloomingdale,GA,(blank)
BLOOMINGGROVE-NY.GOV,City,Non-Federal Agency,TOWN OF BLOOMING GROVE,BLOOMING GROVE,NY,(blank)
BLOOMINGTONMN.GOV,City,Non-Federal Agency,City of Bloomington,Bloomington,MN,(blank)
BLUFFTONINDIANA.GOV,City,Non-Federal Agency,Bluffton Police Department,Bluffton,IN,(blank)
BOCARATON-FL.GOV,City,Non-Federal Agency,City of Boca Raton,Boca Raton,FL,(blank)
BOERNE-TX.GOV,City,Non-Federal Agency,CITY OF BOERNE,BOERNE,TX,(blank)
BOISEIDAHO.GOV,City,Non-Federal Agency,City of Boise,Boise,ID,(blank)
BOLTON-MA.GOV,City,Non-Federal Agency,Bolton Police Department,Bolton,MA,lhamburger@bolton-ma.gov
BONNEYTEXAS.GOV,City,Non-Federal Agency,Village of Bonney,Bonney,TX,(blank)
BOONEVILLE-MS.GOV,City,Non-Federal Agency,City of Booneville,Booneville,MS,(blank)
BORGERTX.GOV,City,Non-Federal Agency,"City of Borger, Texas",Borger,TX,(blank)
BOSQUEFARMSNM.GOV,City,Non-Federal Agency,Village of Bosque Farms,Bosque Farms,NM,(blank)
BOSTON.GOV,City,Non-Federal Agency,City of Boston,Boston,MA,(blank)
BOTHELLWA.GOV,City,Non-Federal Agency,City of Bothell,Bothell,WA,(blank)
BOULDERCOLORADO.GOV,City,Non-Federal Agency,City of Boulder,Boulder,CO,abuse@bouldercolorado.gov
BOUNTIFUL.GOV,City,Non-Federal Agency,Bountiful City,Bountiful city,UT,(blank)
BOUNTIFULUTAH.GOV,City,Non-Federal Agency,Bountiful City Corporation,Bountiful,UT,danu@bountiful.gov
BOURBON-IN.GOV,City,Non-Federal Agency,City of Bourbon,Bremen,IN,(blank)
BOWERSDE.GOV,City,Non-Federal Agency,Town Of Bowers Beach,"Frederica,",DE,(blank)
BOWLINGGREEN-MO.GOV,City,Non-Federal Agency,City of Bowling Green,Bowling Green,MO,(blank)
BOWMAR.GOV,City,Non-Federal Agency,Town of Bow Mar,Bow Mar,CO,bowmartown@gmail.com
BOWNH.GOV,City,Non-Federal Agency,"Town of Bow, NH",Bow,NH,gruggles@bownh.gov
BOXBOROUGH-MA.GOV,City,Non-Federal Agency,Town of Boxborough,Boxborough,MA,(blank)
BOXFORDMA.GOV,City,Non-Federal Agency,Town of Boxford,Boxford,MA,bsheng@hiq.com
BOYLSTON-MA.GOV,City,Non-Federal Agency,Town of Boylston,Boylston,MA,help.boylston@akuity.com
BRADLEYBEACHNJ.GOV,City,Non-Federal Agency,Borough of Bradley Beach,Bradley Beach,NJ,(blank)
BRAINTREEMA.GOV,City,Non-Federal Agency,Town of Braintree MA,Braintree,MA,(blank)
BRANFORD-CT.GOV,City,Non-Federal Agency,Town of Branford CT,Branford,CT,itadmin@branford-ct.gov
BRANSONMO.GOV,City,Non-Federal Agency,City of Branson,Branson,MO,(blank)
BRAWLEY-CA.GOV,City,Non-Federal Agency,City of Brawley,Brawley,CA,(blank)
