Domain Name,Domain Type,Agency,Organization,City,Security Contact Email
CSOSA.GOV,Federal Agency - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision Agency/Office of information Technology,Washington,Soc@csosa.gov
PRETRIALSERVICES.GOV,Federal Agency - Executive,Court Services and Offender Supervision,Pretrial Services Agency for the District of Columbia,Washington,kevin.scott@psa.gov
PSA.GOV,Federal Agency - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision Agency,Washington,Kevin.Scott@psa.gov
DNFSB.GOV,Federal Agency - Executive,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Washington,cyberalerts@dnfsb.gov
DRA.GOV,Federal Agency - Executive,Delta Regional Authority,Delta Regional Authority,Clarksdale,(blank)
DENALI.GOV,Federal Agency - Executive,Denali Commission,Denali Commission,Anchorage,jherrick@denali.gov
FEA.GOV,Federal Agency - Executive,Denali Commission,Alaska Federal Executive Association ,Anchorage,(blank)
2020CENSUS.GOV,Federal Agency - Executive,Department of Commerce,U.S. Census Bureau,Suitland,boc.cirt@census.gov
AP.GOV,Federal Agency - Executive,Department of Commerce,TCD / BIS / Dept of Commerce,Washington,BIS.CIRT@bis.doc.gov
AVIATIONWEATHER.GOV,Federal Agency - Executive,Department of Commerce,National Weather Service,Silver Spring,security@noaa.gov
BEA.GOV,Federal Agency - Executive,Department of Commerce,Bureau of Economic Analysis,Suitland,bea-cirt@bea.gov
BLDRDOC.GOV,Federal Agency - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Boulder,siirt@nist.gov
BUYUSA.GOV,Federal Agency - Executive,Department of Commerce,International Trade Administration,Washington,OpSec@trade.gov
CENSUS.GOV,Federal Agency - Executive,Department of Commerce,U.S. Census Bureau,Suitland,boc.cirt@census.gov
CEP.GOV,Federal Agency - Executive,Department of Commerce,U.S. Census Bureau,Suitland,boc.cirt@census.gov
CLIMATE.GOV,Federal Agency - Executive,Department of Commerce,NWS/OPS33,Silver Spring,security@noaa.gov
COMMERCE.GOV,Federal Agency - Executive,Department of Commerce,Depatment of Commerce,Washington,esoc@doc.gov
DNSOPS.GOV,Federal Agency - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,antd-siirt@nist.gov
DOC.GOV,Federal Agency - Executive,Department of Commerce,Office of the Chief Information Officer,Washington,esoc@doc.gov
DROUGHT.GOV,Federal Agency - Executive,Department of Commerce,NOAA/NCDC,Asheville,security@noaa.gov
EARTHSYSTEMPREDICTION.GOV,Federal Agency - Executive,Department of Commerce,Office of Weather and Air Quality,Silver Spring,security@noaa.gov
EDA.GOV,Federal Agency - Executive,Department of Commerce,ECONOMIC DEVELOPMENT ADMINISTRATION,Washington,esoc@doc.gov
EXPORT.GOV,Federal Agency - Executive,Department of Commerce,International Trade Administration,Washington,OpSec@trade.gov
FIRSTNET.GOV,Federal Agency - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,FirstnetEmailSec@firstnet.gov
FISHWATCH.GOV,Federal Agency - Executive,Department of Commerce,NOAA Fisheries,Silver Spring,security@noaa.gov
GOES-R.GOV,Federal Agency - Executive,Department of Commerce,NASA GSFC,Greenbelt,security@noaa.gov
GPS.GOV,Federal Agency - Executive,Department of Commerce,National Executive Committee for Space-Based PNT,Washington,security@noaa.gov
HURRICANES.GOV,Federal Agency - Executive,Department of Commerce,NOAA/National Hurricane Center,Miami,security@noaa.gov
LUCA-APPEALS.GOV,Federal Agency - Executive,Department of Commerce,US Census Bureau,Washington,boc.cirt@census.gov
MANUFACTURING.GOV,Federal Agency - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Washington,siirt@nist.gov
MARINECADASTRE.GOV,Federal Agency - Executive,Department of Commerce,NOAA Coastal Services Center,Charleston,security@noaa.gov
MBDA.GOV,Federal Agency - Executive,Department of Commerce,MBDA (Minority Business Development Agency),Washington,esoc@doc.gov
MGI.GOV,Federal Agency - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,siirt@nist.gov
MY2020CENSUS.GOV,Federal Agency - Executive,Department of Commerce,US Census Bureau,Washington,boc.cirt@census.gov
NEHRP.GOV,Federal Agency - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,siirt@nist.gov
NIST.GOV,Federal Agency - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,siirt@nist.gov
NOAA.GOV,Federal Agency - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,security@noaa.gov
NTIA.GOV,Federal Agency - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,NTIA-SecOPs@ntia.gov
NTIS.GOV,Federal Agency - Executive,Department of Commerce,National Technical Information Service,Alexandria,security@ntis.gov
NWIRP.GOV,Federal Agency - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,siirt@nist.gov
OFCM.GOV,Federal Agency - Executive,Department of Commerce,Office of the Federal Coordinator for Meteorolgy,Silver Spring,security@noaa.gov
PAPAHANAUMOKUAKEA.GOV,Federal Agency - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,security@noaa.gov
PRIVACYSHIELD.GOV,Federal Agency - Executive,Department of Commerce,International Trade Administration,Washington,OpSec@trade.gov
PSCR.GOV,Federal Agency - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,siirt@nist.gov
SDR.GOV,Federal Agency - Executive,Department of Commerce,National Science and Technology Council,Washington,security@noaa.gov
SELECTUSA.GOV,Federal Agency - Executive,Department of Commerce,International Trade Administration,Washington,OpSec@trade.gov
SPACEWEATHER.GOV,Federal Agency - Executive,Department of Commerce,Space Environment Center W/NP9,Boulder,security@noaa.gov
SPECTRUM.GOV,Federal Agency - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,NTIA-SecOPs@ntia.gov
STANDARDS.GOV,Federal Agency - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,siirt@nist.gov
STOPFAKES.GOV,Federal Agency - Executive,Department of Commerce,International Trade Administration,Washington,OpSec@trade.gov
SWORM.GOV,Federal Agency - Executive,Department of Commerce,NOAA/Space Weather Prediction Center,Boulder,security@noaa.gov
TIME.GOV,Federal Agency - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Boulder,siirt@nist.gov
TRADE.GOV,Federal Agency - Executive,Department of Commerce,International Trade Administration,Washington,OpSec@trade.gov
TSUNAMI.GOV,Federal Agency - Executive,Department of Commerce,West Coast & Alaska Tsunami Warning Center,Palmer,security@noaa.gov
USICECENTER.GOV,Federal Agency - Executive,Department of Commerce,U. S. National Ice Center,Suitland,nic.webmaster@noaa.gov
USPTO.GOV,Federal Agency - Executive,Department of Commerce,USPTO,Washington,C32@uspto.gov
WEATHER.GOV,Federal Agency - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,security@noaa.gov
XD.GOV,Federal Agency - Executive,Department of Commerce,Bureau of the Census,Suitland,boc.cirt@census.gov
ADLNET.GOV,Federal Agency - Executive,Department of Defense,Advanced Distributed Learning Initiative,Washington,cybersecurity@adlnet.gov
AFTAC.GOV,Federal Agency - Executive,Department of Defense,AFTAC,Patrick AFB,(blank)
ALTUSANDC.GOV,Federal Agency - Executive,Department of Defense,aftac,Patrick AFB,(blank)
BUSINESSDEFENSE.GOV,Federal Agency - Executive,Department of Defense,"Office of the Under Secretary of Defense for Acquisition, Technology and Logistics",Washington,(blank)
CMTS.GOV,Federal Agency - Executive,Department of Defense,US Army Corps of Engineers,Mobile,(blank)
CNSS.GOV,Federal Agency - Executive,Department of Defense,CNSS Secretariat,Fort Meade,(blank)
CTOC.GOV,Federal Agency - Executive,Department of Defense,MCTFT,Starke,(blank)
CTTSO.GOV,Federal Agency - Executive,Department of Defense,Combating Terrorism Technical Support Office,Arlington,(blank)
DC3ON.GOV,Federal Agency - Executive,Department of Defense,Defense Cyber Crime Center,Linthicum,(blank)
DEFENSE.GOV,Federal Agency - Executive,Department of Defense,Defense Media Activity,Fort Meade,pubwebhd@defense.gov
ERDC.GOV,Federal Agency - Executive,Department of Defense,Engineer Research and Development Center,Vicksburg,(blank)
FVAP.GOV,Federal Agency - Executive,Department of Defense,Federal Voting Assistance Program,Alexandria,(blank)
IAD.GOV,Federal Agency - Executive,Department of Defense,National Security Agency,Fort Meade,(blank)
IOSS.GOV,Federal Agency - Executive,Department of Defense,Interagency OPSEC Support Staff,Greenbelt,(blank)
ITC.GOV,Federal Agency - Executive,Department of Defense,Interagency Training Center,Fort Washington,itcrowd@itc.gov
JCCS.GOV,Federal Agency - Executive,Department of Defense,Defense Logistics Agency,Alexandria,(blank)
MOJAVEDATA.GOV,Federal Agency - Executive,Department of Defense,Mojave Desert Ecosystem Program,Barstow,(blank)
MTMC.GOV,Federal Agency - Executive,Department of Defense,Department of Defense,Alexandria,(blank)
MYPAY.GOV,Federal Agency - Executive,Department of Defense,Defense Finance and Accounting Service,Pensacola,(blank)
NATIONALRESOURCEDIRECTORY.GOV,Federal Agency - Executive,Department of Defense,OFFICE OF WARRIOR CARE POLICY,Arlington,(blank)
NRD.GOV,Federal Agency - Executive,Department of Defense,OFFICE OF WARRIOR CARE POLICY,Arlington,(blank)
NRO.GOV,Federal Agency - Executive,Department of Defense,NRO,Chantilly,hugheysh@nro.ic.gov
NROJR.GOV,Federal Agency - Executive,Department of Defense,NRO,Chantilly,hugheysh@nro.ic.gov
NSA.GOV,Federal Agency - Executive,Department of Defense,NSA,Fort Meade,(blank)
NSEP.GOV,Federal Agency - Executive,Department of Defense,National Security Education Program (NSEP) at DLNSEO,Alexandria,(blank)
OEA.GOV,Federal Agency - Executive,Department of Defense,Office of Economic Adjustment,Arlington,james.v.evans29.civ@mail.mil
SITEIDIQ.GOV,Federal Agency - Executive,Department of Defense,Defense Intelligence Agency,Arlington,(blank)
TAK.GOV,Federal Agency - Executive,Department of Defense,TAK Product Center,Fort Belvoir,andrew.s.crerar2.ctr@mail.mil
TSWG.GOV,Federal Agency - Executive,Department of Defense,Technical Support Working Group,Arlington,(blank)
USANDC.GOV,Federal Agency - Executive,Department of Defense,AFTAC/LSCSS,Patrick AFB,(blank)
BUDGETLOB.GOV,Federal Agency - Executive,Department of Education,Office of Chief Information Officer,Washington,EDSOC@ed.gov
CHILDSTATS.GOV,Federal Agency - Executive,Department of Education,Office of Chief Information Officer,Washington,EDSOC@ed.gov
COLLEGENAVIGATOR.GOV,Federal Agency - Executive,Department of Education,Office of Chief Information Officer,Washington,EDSOC@ed.gov
ED.GOV,Federal Agency - Executive,Department of Education,Office of Chief Information Officer,Washington,EDSOC@ed.gov
FAFSA.GOV,Federal Agency - Executive,Department of Education,U.S. Department of Education,Washington,EDSOC@ed.gov
G5.GOV,Federal Agency - Executive,Department of Education,Office of Chief Information Officer,Washington,EDSOC@ed.gov
NAGB.GOV,Federal Agency - Executive,Department of Education,Office of Chief Information Officer,Washington,EDSOC@ed.gov
NATIONSREPORTCARD.GOV,Federal Agency - Executive,Department of Education,Office of Chief Information Officer,Washington,EDSOC@ed.gov
STUDENTAID.GOV,Federal Agency - Executive,Department of Education,U.S. Department of Education (ED),Washington,EDSOC@ed.gov
STUDENTLOANS.GOV,Federal Agency - Executive,Department of Education,U.S. Department of Education,Washington,EDSOC@ed.gov
AMESLAB.GOV,Federal Agency - Executive,Department of Energy,Ames Laboratory,Ames,networks@ameslab.gov
ANL.GOV,Federal Agency - Executive,Department of Energy,Argonne National Laboratory,Argonne,(blank)
ARM.GOV,Federal Agency - Executive,Department of Energy,Battelle Pacific Northwest National Laboratory,Richland,security@arm.gov
BIOMASSBOARD.GOV,Federal Agency - Executive,Department of Energy,EERE,Washington,(blank)
BNL.GOV,Federal Agency - Executive,Department of Energy,Brookhaven National Laboratory,Upton,(blank)
BPA.GOV,Federal Agency - Executive,Department of Energy,Bonneville Power Administration,Portland,security@bpa.gov
BUILDINGAMERICA.GOV,Federal Agency - Executive,Department of Energy,US DEPARTMENT OF ENERGY,Golden,(blank)
CASL.GOV,Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,security@ornl.gov
CEBAF.GOV,Federal Agency - Executive,Department of Energy,Thomas Jefferson National Accelerator Facility,Newport News,(blank)
CENDI.GOV,Federal Agency - Executive,Department of Energy,Department of Energy - OSTI,Oak Ridge,(blank)
DOE.GOV,Federal Agency - Executive,Department of Energy,"US Department of Energy, Office of the CIO",Washington,(blank)
DOEAL.GOV,Federal Agency - Executive,Department of Energy,NNSA,Albuquerque,(blank)
EIA.GOV,Federal Agency - Executive,Department of Energy,Energy Information Administration,Washington,Jarnail.Singh@eia.gov
ENERGY.GOV,Federal Agency - Executive,Department of Energy,"US Department of Energy, Office of the CIO",Washington,(blank)
ENERGYCODES.GOV,Federal Agency - Executive,Department of Energy,Department of Energy Bulding Energy Codes Program,Richland,(blank)
ENERGYSAVER.GOV,Federal Agency - Executive,Department of Energy,Department of Energy,Washington,(blank)
ENERGYSAVERS.GOV,Federal Agency - Executive,Department of Energy,Department of Energy,Washington,(blank)
FNAL.GOV,Federal Agency - Executive,Department of Energy,Fermi National Accelerator Laboratory,Batavia,(blank)
FUELECONOMY.GOV,Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,security@ornl.gov
HANFORD.GOV,Federal Agency - Executive,Department of Energy,"Mission Support Alliance, LLC",Richland,jason_r_dandridge@rl.gov
HIGHPERFORMANCEBUILDINGS.GOV,Federal Agency - Executive,Department of Energy,"US DOE, EERE",Golden,DL-EEREActioNetWebTeam@ee.doe.gov
HOMEENERGYSCORE.GOV,Federal Agency - Executive,Department of Energy,Office of Energy Efficiency & Renewable Energy,Washington,DL-EEREActioNetWebTeam@ee.doe.gov
HYDROGEN.GOV,Federal Agency - Executive,Department of Energy,Research and Special Programs Administration / Volpe,Washington,DL-EEREActioNetWebTeam@ee.doe.gov
INEL.GOV,Federal Agency - Executive,Department of Energy,Idaho National Laboratory,Idaho Falls,(blank)
INL.GOV,Federal Agency - Executive,Department of Energy,Idaho National Laboratory,Idaho Falls,(blank)
ISOTOPE.GOV,Federal Agency - Executive,Department of Energy,The National Isotope Development Center ,Oak Ridge,security@ornl.gov
ISOTOPES.GOV,Federal Agency - Executive,Department of Energy,The National Isotope Development Center ,Oak Ridge,security@ornl.gov
LANL.GOV,Federal Agency - Executive,Department of Energy,Los Alamos National Laboratory,Los Alamos,csirt@lanl.gov
LBL.GOV,Federal Agency - Executive,Department of Energy,Lawrence Berkeley National Laboratory,Berkeley,(blank)
LLNL.GOV,Federal Agency - Executive,Department of Energy,Lawrence Livermore National Laboratory,Livermore,cybersecurity@llnl.gov
NCCS.GOV,Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,security@ornl.gov
NCRC.GOV,Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,security@ornl.gov
NERSC.GOV,Federal Agency - Executive,Department of Energy,National Energy Research Scientific Computing Center,Berkeley,(blank)
NEUP.GOV,Federal Agency - Executive,Department of Energy,Office of Nuclear Energy,Washington,(blank)
NREL.GOV,Federal Agency - Executive,Department of Energy,National Renewable Energy Laboratory,Golden,(blank)
NRELHUB.GOV,Federal Agency - Executive,Department of Energy,National Renewable Energy Laboratory,Golden,(blank)
NTRC.GOV,Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,Knoxville,security@ornl.gov
NUCLEAR.GOV,Federal Agency - Executive,Department of Energy,US Department of Energy,Washington,(blank)
ORAU.GOV,Federal Agency - Executive,Department of Energy,ORAU,Oak Ridge,(blank)
ORNL.GOV,Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,security@ornl.gov
OSTI.GOV,Federal Agency - Executive,Department of Energy,OSTI,Oak Ridge,security@osti.gov
PNL.GOV,Federal Agency - Executive,Department of Energy,Pacific Northwest National Laboratory,Richland,(blank)
PNNL.GOV,Federal Agency - Executive,Department of Energy,Pacific Northwest National Laboratory,Richland,(blank)
PPPL.GOV,Federal Agency - Executive,Department of Energy,Princeton Plasma Physics Lab,Princeton,(blank)
PPPO.GOV,Federal Agency - Executive,Department of Energy,Portsmouth/Paducah Project Office,Lexington,csnotifications@pppo.gov
RL.GOV,Federal Agency - Executive,Department of Energy,"Mission Support Alliance, LLC",Richland,jason_r_dandridge@rl.gov
SALMONRECOVERY.GOV,Federal Agency - Executive,Department of Energy,Bonneville Power Administration,Portland,security@bpa.gov
SANDIA.GOV,Federal Agency - Executive,Department of Energy,Sandia National Laboratories,Albuquerque,abuse@sandia.gov
SCIDAC.GOV,Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,security@ornl.gov
SCIENCE.GOV,Federal Agency - Executive,Department of Energy,OSTI,Oak Ridge,security@osti.gov
SMARTGRID.GOV,Federal Agency - Executive,Department of Energy,Office of Electricity Delivery and Energy Reliability,Washington,aws.master@nrel.gov
SNS.GOV,Federal Agency - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,security@ornl.gov
SOLARDECATHLON.GOV,Federal Agency - Executive,Department of Energy,Office of Energy Efficiency &  Renewable Energy ,Washington,(blank)
SRS.GOV,Federal Agency - Executive,Department of Energy,Savannah River Nuclear Solutions (SRNS),Aiken,william.arnold@srs.gov
SWPA.GOV,Federal Agency - Executive,Department of Energy,Southwestern Power Administration,Tulsa,CyberSecurityTeam@swpa.gov
UNNPP.GOV,Federal Agency - Executive,Department of Energy,"Bechtel Bettis, Inc.",West Mifflin,(blank)
UNRPNET.GOV,Federal Agency - Executive,Department of Energy,Department of Energy,Washington,(blank)
WAPA.GOV,Federal Agency - Executive,Department of Energy,Western Area Power Administration,Lakewood,ITNetwork@wapa.gov
YMP.GOV,Federal Agency - Executive,Department of Energy,Office of Civilian Radioactive Waste Management (OCRWM),Las Vegas,cybersoc@lm.doe.gov
ACF.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,responsibledisclosure@hhs.gov
ACL.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,Washington,responsibledisclosure@hhs.gov
AFTERSCHOOL.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,responsibledisclosure@hhs.gov
AGING.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,Washington,responsibledisclosure@hhs.gov
AGINGSTATS.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration for Community Living,Washington,responsibledisclosure@hhs.gov
AHCPR.GOV,Federal Agency - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,Rockville,SecureAHRQ@ahrq.hhs.gov
