Domain Name,Domain Type,Agency,City,State,Status
BROWNCOUNTYOHIO.GOV,County,Non-Federal Agency,Georgetown,OH,ACTIVE
BROWNCOUNTYWI.GOV,County,Non-Federal Agency,Green Bay,WI,ACTIVE
BRUNSWICKCOUNTYNC.GOV,County,Non-Federal Agency,Bolivia,NC,ACTIVE
BUCHANANCOUNTY-VA.GOV,County,Non-Federal Agency,Grundy,VA,ACTIVE
BUNCOMBECOUNTYNC.GOV,County,Non-Federal Agency,Asheville,NC,ACTIVE
BUREAUCOUNTY-IL.GOV,County,Non-Federal Agency,Princeton,IL,ACTIVE
CABARRUSCOUNTYNC.GOV,County,Non-Federal Agency,Concord,NC,ACTIVE
CALHOUNCOUNTYAL.GOV,County,Non-Federal Agency,Anniston,AL,ACTIVE
CALHOUNCOUNTYMI.GOV,County,Non-Federal Agency,Marshall,MI,ACTIVE
CALLOWAYCOUNTY-KY.GOV,County,Non-Federal Agency,Murray,KY,ACTIVE
CAMBRIACOUNTYPA.GOV,County,Non-Federal Agency,Ebensburg,PA,ACTIVE
CAMDENCOUNTYNC.GOV,County,Non-Federal Agency,Camden,NC,ACTIVE
CAMPBELLCOUNTYKY.GOV,County,Non-Federal Agency,Newport,KY,ACTIVE
CAMPBELLCOUNTYTN.GOV,County,Non-Federal Agency,Jacksboro,TN,ACTIVE
CAMPBELLCOUNTYVA.GOV,County,Non-Federal Agency,Rustburg,VA,ACTIVE
CANDLERCO-GA.GOV,County,Non-Federal Agency,Metter,GA,ACTIVE
CAPECOD-MA.GOV,County,Non-Federal Agency,Barnstable,MA,ACTIVE
CAPEMAYCOUNTYNJ.GOV,County,Non-Federal Agency,Cape May Court House,NJ,ACTIVE
CAPITALALERT.GOV,County,Non-Federal Agency,Fairfax,VA,ACTIVE
CAPITALERT.GOV,County,Non-Federal Agency,Fairfax,VA,ACTIVE
CAPITALREGION.GOV,County,Non-Federal Agency,Fairfax,VA,ACTIVE
CAROLINECOUNTYVA.GOV,County,Non-Federal Agency,Bowling Green,VA,ACTIVE
CARROLLCOUNTYIN.GOV,County,Non-Federal Agency,Delphi,IN,ACTIVE
CARTERCOUNTYTN.GOV,County,Non-Federal Agency,Elizabethton,TN,ACTIVE
CARTERETCOUNTYNC.GOV,County,Non-Federal Agency,Beaufort,NC,ACTIVE
CASCADECOUNTYMT.GOV,County,Non-Federal Agency,Great Falls,MT,ACTIVE
CASSCOUNTYND.GOV,County,Non-Federal Agency,Bismarck,ND,ACTIVE
CASWELLCOUNTYNC.GOV,County,Non-Federal Agency,Yanceyville,NC,ACTIVE
CATAWBACOUNTYNC.GOV,County,Non-Federal Agency,Newton,NC,ACTIVE
CATRONCOUNTYNM.GOV,County,Non-Federal Agency,Reserve,NM,ACTIVE
CECILCOUNTYMD.GOV,County,Non-Federal Agency,Elkton,MD,ACTIVE
CEDARCOUNTYMO.GOV,County,Non-Federal Agency,Stockton,MO,ACTIVE
CENTRECOUNTYPA.GOV,County,Non-Federal Agency,Bellefonte,PA,ACTIVE
CHAMBERSCOUNTYAL.GOV,County,Non-Federal Agency,Lafayette,AL,ACTIVE
CHAMBERSTX.GOV,County,Non-Federal Agency,Anahuac,TX,ACTIVE
CHARLESCOUNTYMD.GOV,County,Non-Federal Agency,La Plata,MD,ACTIVE
CHARLOTTECOUNTYFL.GOV,County,Non-Federal Agency,Port Charlotte,FL,ACTIVE
CHARLTONCOUNTYGA.GOV,County,Non-Federal Agency,Folkston,GA,ACTIVE
CHATHAMCOUNTYGA.GOV,County,Non-Federal Agency,Savannah,GA,ACTIVE
CHEATHAMCOUNTYTN.GOV,County,Non-Federal Agency,Ashland City,TN,ACTIVE
CHELANCOUNTYWA.GOV,County,Non-Federal Agency,Wenatchee,WA,ACTIVE
CHEROKEECOUNTY-AL.GOV,County,Non-Federal Agency,Centre,AL,ACTIVE
CHEROKEECOUNTY-KS.GOV,County,Non-Federal Agency,Columbus,KS,ACTIVE
CHEROKEECOUNTY-NC.GOV,County,Non-Federal Agency,Murphy,NC,ACTIVE
CHEROKEECOUNTYKS.GOV,County,Non-Federal Agency,Columbus,KS,ACTIVE
CHEROKEECOUNTYSC.GOV,County,Non-Federal Agency,Gaffney,SC,ACTIVE
CHESTERFIELDCOUNTY.GOV,County,Non-Federal Agency,Chesterfield,VA,ACTIVE
CHEYENNECOUNTY-CO.GOV,County,Non-Federal Agency,CHEYENNE WELLS,CO,ACTIVE
CHIPPEWACOUNTYMI.GOV,County,Non-Federal Agency,Sault Ste Marie,MI,ACTIVE
CHRISTIANCOUNTYKY.GOV,County,Non-Federal Agency,Hopkinsville,KY,ACTIVE
CHRISTIANCOUNTYMO.GOV,County,Non-Federal Agency,Ozark,MO,ACTIVE
CLARKCOUNTYNV.GOV,County,Non-Federal Agency,Las Vegas,NV,ACTIVE
CLARKCOUNTYOHIO.GOV,County,Non-Federal Agency,Springfield,OH,ACTIVE
CLARKECOUNTY.GOV,County,Non-Federal Agency,Berryville,VA,ACTIVE
CLARKECOUNTYMS.GOV,County,Non-Federal Agency,Quitman,MS,ACTIVE
CLATSOPCOUNTYOR.GOV,County,Non-Federal Agency,Astoria,OR,ACTIVE
CLAYCOUNTYMN.GOV,County,Non-Federal Agency,Moorhead,MN,ACTIVE
CLAYCOUNTYMO.GOV,County,Non-Federal Agency,Liberty,MO,ACTIVE
CLAYTONCOUNTYGA.GOV,County,Non-Federal Agency,Jonesboro,GA,ACTIVE
CLAYTONCOUNTYIA.GOV,County,Non-Federal Agency,Elkader,IA,ACTIVE
CLERMONTCOUNTYOHIO.GOV,County,Non-Federal Agency,Batavia,OH,ACTIVE
CLINTONCOUNTY-IA.GOV,County,Non-Federal Agency,Clinton,IA,ACTIVE
COLUMBIACOUNTYGA.GOV,County,Non-Federal Agency,Evans,GA,ACTIVE
COLUMBIACOUNTYNY.GOV,County,Non-Federal Agency,Hudson,NY,ACTIVE
CONVERSECOUNTYWY.GOV,County,Non-Federal Agency,Douglas,WY,ACTIVE
COOKCOUNTYIL.GOV,County,Non-Federal Agency,Chicago,IL,ACTIVE
COOPERCOUNTYMO.GOV,County,Non-Federal Agency,Boonville,MO,ACTIVE
COPIAHCOUNTYMS.GOV,County,Non-Federal Agency,Hazlehurst,MS,ACTIVE
CORONADOCA.GOV,County,Non-Federal Agency,Coronado,CA,ACTIVE
COSCPINALCOUNTYAZ.GOV,County,Non-Federal Agency,Florence,AZ,ACTIVE
COSTILLACOUNTY-CO.GOV,County,Non-Federal Agency,San Luis,CO,ACTIVE
COUNTYOFVENTURACA.GOV,County,Non-Federal Agency,VENTURA,CA,ACTIVE
COVINGTONCOUNTYMS.GOV,County,Non-Federal Agency,Collins,MS,ACTIVE
CRAIGCOUNTYVA.GOV,County,Non-Federal Agency,New Castle,VA,ACTIVE
CRAVENCOUNTYNC.GOV,County,Non-Federal Agency,New Bern,NC,ACTIVE
CRAWFORDCOUNTYKANSAS.GOV,County,Non-Federal Agency,Girard,KS,ACTIVE
CRAWFORDCOUNTYMO.GOV,County,Non-Federal Agency,Steelville,MO,ACTIVE
CULPEPERCOUNTY.GOV,County,Non-Federal Agency,Culpeper,VA,ACTIVE
CUMBERLANDCOUNTYTN.GOV,County,Non-Federal Agency,Crossville,TN,ACTIVE
CURRITUCKCOUNTYNC.GOV,County,Non-Federal Agency,Currituck,NC,ACTIVE
DADECOUNTY-GA.GOV,County,Non-Federal Agency,Trenton,GA,ACTIVE
DAKOTACOUNTYMN.GOV,County,Non-Federal Agency,Hastings,MN,ACTIVE
DALLASCOUNTY-TX.GOV,County,Non-Federal Agency,Dallas,TX,ACTIVE
DALLASCOUNTYIOWA.GOV,County,Non-Federal Agency,Adel,IA,ACTIVE
DARECOUNTYNC.GOV,County,Non-Federal Agency,Manteo,NC,ACTIVE
DAVIDSONCOUNTYNC.GOV,County,Non-Federal Agency,Lexington,NC,ACTIVE
DAVIECOUNTYNC.GOV,County,Non-Federal Agency,Mocksville,NC,ACTIVE
DAVISCOUNTYUT4HEALTH.GOV,County,Non-Federal Agency,Farmington,UT,ACTIVE
DAVISCOUNTYUTAH.GOV,County,Non-Federal Agency,Farmington,UT,ACTIVE
DAVISUT4HEALTH.GOV,County,Non-Federal Agency,Farmington,UT,ACTIVE
DAWSONCOUNTYNE.GOV,County,Non-Federal Agency,Lexington,NE,ACTIVE
DCONC.GOV,County,Non-Federal Agency,Durham,NC,ACTIVE
DECATURCOUNTYGA.GOV,County,Non-Federal Agency,Bainbridge,GA,ACTIVE
DEKALBCOUNTYGA.GOV,County,Non-Federal Agency,Decatur,GA,ACTIVE
DEKALBCOUNTYIL.GOV,County,Non-Federal Agency,Sycamore,IL,ACTIVE
DESOTOCOUNTYMS.GOV,County,Non-Federal Agency,HERNANDO,MS,ACTIVE
DICKINSONCOUNTYMI.GOV,County,Non-Federal Agency,Iron Mountain,MI,ACTIVE
DICKSONCOUNTYTN.GOV,County,Non-Federal Agency,Charlotte,TN,ACTIVE
DOUGLASCOUNTY-NE.GOV,County,Non-Federal Agency,Omaha,NE,ACTIVE
DOUGLASCOUNTYNV.GOV,County,Non-Federal Agency,Minden,NV,ACTIVE
DUNNCOUNTYWI.GOV,County,Non-Federal Agency,Menomonie,WI,ACTIVE
DURHAMCOUNTYNC.GOV,County,Non-Federal Agency,Durham,NC,ACTIVE
ECTORCOUNTYTX.GOV,County,Non-Federal Agency,Odessa,TX,ACTIVE
EDGECOMBECOUNTYNC.GOV,County,Non-Federal Agency,Tarboro,NC,ACTIVE
ELBERTCOUNTY-CO.GOV,County,Non-Federal Agency,Kiowa,CO,ACTIVE
EMANUELCO-GA.GOV,County,Non-Federal Agency,Swainsboro,GA,ACTIVE
ERIE.GOV,County,Non-Federal Agency,Buffalo,NY,ACTIVE
ERIECOUNTYPA.GOV,County,Non-Federal Agency,Erie,PA,ACTIVE
EUREKACOUNTYNV.GOV,County,Non-Federal Agency,Eureka,NV,ACTIVE
FAIRFAXCOUNTY.GOV,County,Non-Federal Agency,Fairfax,VA,ACTIVE
FAIRFAXCOUNTYVA.GOV,County,Non-Federal Agency,Fairfax,VA,ACTIVE
FAIRFAXCOUNTYVIRGINIA.GOV,County,Non-Federal Agency,Fairfax,VA,ACTIVE
FAIRFIELDCOUNTYOHIO.GOV,County,Non-Federal Agency,Lancaster,OH,ACTIVE
FAUQUIERCOUNTY.GOV,County,Non-Federal Agency,Warrenton,VA,ACTIVE
FENTRESSCOUNTYTN.GOV,County,Non-Federal Agency,Jamestown,TN,ACTIVE
FORTBENDCOUNTYTX.GOV,County,Non-Federal Agency,Richmond,TX,ACTIVE
FRANKLINCOUNTYGA.GOV,County,Non-Federal Agency,Carnesville,GA,ACTIVE
FRANKLINCOUNTYIL.GOV,County,Non-Federal Agency,Benton,IL,ACTIVE
FRANKLINCOUNTYMAINE.GOV,County,Non-Federal Agency,Farmington,ME,ACTIVE
FRANKLINCOUNTYOHIO.GOV,County,Non-Federal Agency,Columbus,OH,ACTIVE
FRANKLINCOUNTYPA.GOV,County,Non-Federal Agency,Chambersburg,PA,ACTIVE
FRANKLINCOUNTYVA.GOV,County,Non-Federal Agency,Rocky Mount,VA,ACTIVE
FREDERICKCOUNTYMD.GOV,County,Non-Federal Agency,Frederick,MD,ACTIVE
FREDERICKCOUNTYVA.GOV,County,Non-Federal Agency,Winchester,VA,ACTIVE
FREMONTCOUNTYWY.GOV,County,Non-Federal Agency,Lander,WY,ACTIVE
FRIOCOUNTY-TX.GOV,County,Non-Federal Agency,Pearsall,TX,ACTIVE
FULTONCOUNTYGA.GOV,County,Non-Federal Agency,Atlanta,GA,ACTIVE
FULTONCOUNTYNY.GOV,County,Non-Federal Agency,Johnstown,NY,ACTIVE
GADSDENCOUNTYFL.GOV,County,Non-Federal Agency,Quincy,FL,ACTIVE
GALVESTONCOUNTYTX.GOV,County,Non-Federal Agency,Galveston,TX,ACTIVE
GARFIELDCOUNTY-CO.GOV,County,Non-Federal Agency,Glenwood Springs,CO,ACTIVE
GATESCOUNTYNC.GOV,County,Non-Federal Agency,Gatesville,NC,ACTIVE
GEORGECOUNTYMS.GOV,County,Non-Federal Agency,Lucedale,MS,ACTIVE
GGSC.GOV,County,Non-Federal Agency,Greenville,SC,ACTIVE
GIBSONCOUNTY-IN.GOV,County,Non-Federal Agency,Princeton,IN,ACTIVE
GILACOUNTYAZ.GOV,County,Non-Federal Agency,Globe,AZ,ACTIVE
GILMERCOUNTY-GA.GOV,County,Non-Federal Agency,Ellijay,GA,ACTIVE
GILMERCOUNTYWV.GOV,County,Non-Federal Agency,GLENVILLE,WV,ACTIVE
GLOUCESTERCOUNTYNJ.GOV,County,Non-Federal Agency,Woodbury,NJ,ACTIVE
GOGEBICCOUNTYMI.GOV,County,Non-Federal Agency,Bessemer,MI,ACTIVE
GOLIADCOUNTYTX.GOV,County,Non-Federal Agency,Goliad,TX,ACTIVE
GRADYCOUNTYGA.GOV,County,Non-Federal Agency,Cairo,GA,ACTIVE
GRAINGERCOUNTYTN.GOV,County,Non-Federal Agency,Rutledge,TN,ACTIVE
GRANTCOUNTY-OR.GOV,County,Non-Federal Agency,Canyon City,OR,ACTIVE
GRANTCOUNTYWA.GOV,County,Non-Federal Agency,Ephrata,WA,ACTIVE
GRAYSONCOUNTYVA.GOV,County,Non-Federal Agency,Independence,VA,ACTIVE
GREENECOUNTYGA.GOV,County,Non-Federal Agency,Greensboro,GA,ACTIVE
GREENECOUNTYMO.GOV,County,Non-Federal Agency,Springfield,MO,ACTIVE
GREENECOUNTYMS.GOV,County,Non-Federal Agency,Leaksville,MS,ACTIVE
GREENECOUNTYNC.GOV,County,Non-Federal Agency,Snow Hill,NC,ACTIVE
GREENECOUNTYVA.GOV,County,Non-Federal Agency,Stanardsville,VA,ACTIVE
GREENHARRISCOUNTYTX.GOV,County,Non-Federal Agency,Houston,TX,ACTIVE
GREENMCHENRYCOUNTYIL.GOV,County,Non-Federal Agency,Woodstock,IL,ACTIVE
GREENMCHENRYCOUNTYILLINOIS.GOV,County,Non-Federal Agency,Woodstock,IL,ACTIVE
GREENSVILLECOUNTYVA.GOV,County,Non-Federal Agency,Emporia,VA,ACTIVE
GREENVILLECOUNTYSC.GOV,County,Non-Federal Agency,Greenville,SC,ACTIVE
GREENWOODSC.GOV,County,Non-Federal Agency,Greenwood,SC,ACTIVE
GRIGGSCOUNTYND.GOV,County,Non-Federal Agency,Bismarck,ND,ACTIVE
GULFCOUNTY-FL.GOV,County,Non-Federal Agency,Port St. Joe,FL,ACTIVE
GWINNETTCOUNTYGA.GOV,County,Non-Federal Agency,Lawrenceville,GA,ACTIVE
HABERSHAMCOUNTY-GA.GOV,County,Non-Federal Agency,Clarkesville,GA,ACTIVE
HAINESALASKA.GOV,County,Non-Federal Agency,Haines,AK,ACTIVE
HALIFAXCOUNTYVA.GOV,County,Non-Federal Agency,Halifax,VA,ACTIVE
HALLCOUNTYGA.GOV,County,Non-Federal Agency,Gainesville,GA,ACTIVE
HALLCOUNTYNE.GOV,County,Non-Federal Agency,Grand Island,NE,ACTIVE
HAMBLENCOUNTYTN.GOV,County,Non-Federal Agency,Morristown,TN,ACTIVE
HAMILTONCOUNTYFLORIDA.GOV,County,Non-Federal Agency,Jasper,FL,ACTIVE
HAMILTONCOUNTYNY.GOV,County,Non-Federal Agency,Lake Pleasent,NY,ACTIVE
HAMILTONCOUNTYOHIO.GOV,County,Non-Federal Agency,Cincinnati,OH,ACTIVE
HAMILTONTN.GOV,County,Non-Federal Agency,Chattanooga,TN,ACTIVE
HANCOCKCOUNTY-IL.GOV,County,Non-Federal Agency,Carthage,IL,ACTIVE
HANCOCKCOUNTYGA.GOV,County,Non-Federal Agency,Sparta,GA,ACTIVE
HANCOCKCOUNTYMS.GOV,County,Non-Federal Agency,Bay St. Louis,MS,ACTIVE
HANOVER.GOV,County,Non-Federal Agency,Hanover,VA,ACTIVE
HANOVERCOUNTY.GOV,County,Non-Federal Agency,Hanover,VA,ACTIVE
HANOVERCOUNTYVA.GOV,County,Non-Federal Agency,Hanover,VA,ACTIVE
HARALSONCOUNTYGA.GOV,County,Non-Federal Agency,Buchanan,GA,ACTIVE
HARDINCOUNTYIA.GOV,County,Non-Federal Agency,Eldora,IA,ACTIVE
HARRISCOUNTYGA.GOV,County,Non-Federal Agency,Hamilton,GA,ACTIVE
HARRISCOUNTYTX.GOV,County,Non-Federal Agency,Houston,TX,ACTIVE
HARRISONCOUNTY-MS.GOV,County,Non-Federal Agency,Gulfport,MS,ACTIVE
HARRISONCOUNTYWV.GOV,County,Non-Federal Agency,Clarksburg,WV,ACTIVE
HARTCOUNTYGA.GOV,County,Non-Federal Agency,Hartwell,GA,ACTIVE
HAWAIICOUNTY.GOV,County,Non-Federal Agency,Hilo,HI,ACTIVE
HAWKINSCOUNTYTN.GOV,County,Non-Federal Agency,Rogersville,TN,ACTIVE
HAYWOODCOUNTYNC.GOV,County,Non-Federal Agency,Waynesville,NC,ACTIVE
HCSHERIFF.GOV,County,Non-Federal Agency,Chattanooga,TN,ACTIVE
HENDERSONCOUNTYTN.GOV,County,Non-Federal Agency,Lexington,TN,ACTIVE
HENRYCOUNTYVA.GOV,County,Non-Federal Agency,Martinsville,VA,ACTIVE
HERTFORDCOUNTYNC.GOV,County,Non-Federal Agency,Winton,NC,ACTIVE
HINSDALECOUNTY-CO.GOV,County,Non-Federal Agency,Lake City,CO,ACTIVE
HOWARDCOUNTYIN.GOV,County,Non-Federal Agency,Kokomo,IN,ACTIVE
HOWARDCOUNTYMARYLAND.GOV,County,Non-Federal Agency,Ellicott City,MD,ACTIVE
HOWARDCOUNTYMD.GOV,County,Non-Federal Agency,Ellicott City,MD,ACTIVE
HURONCOUNTY-OH.GOV,County,Non-Federal Agency,Norwalk,OH,ACTIVE
HYDECOUNTYNC.GOV,County,Non-Federal Agency,Swanquarter,NC,ACTIVE
ICATCO.GOV,County,Non-Federal Agency,Newton,NC,ACTIVE
ISLANDCOUNTYWA.GOV,County,Non-Federal Agency,Coupeville,WA,ACTIVE
ISSAQUENACOUNTYMS.GOV,County,Non-Federal Agency,Mayersville,MS,ACTIVE
JACKSONCOGA.GOV,County,Non-Federal Agency,Jefferson,GA,ACTIVE
JACKSONCOUNTY-IL.GOV,County,Non-Federal Agency,Murphysboro,IL,ACTIVE
JAMESCITYCOUNTYVA.GOV,County,Non-Federal Agency,Williamsburg,VA,ACTIVE
JASPERCOUNTYIN.GOV,County,Non-Federal Agency,Rensselaer,IN,ACTIVE
JASPERCOUNTYSC.GOV,County,Non-Federal Agency,Ridgeland,SC,ACTIVE
JEFFERSONCOUNTY-MT.GOV,County,Non-Federal Agency,Boulder,MT,ACTIVE
JEFFERSONCOUNTYFL.GOV,County,Non-Federal Agency,Monticello,FL,ACTIVE
JEFFERSONCOUNTYGA.GOV,County,Non-Federal Agency,LOUISVILLE,GA,ACTIVE
JEFFERSONCOUNTYMS.GOV,County,Non-Federal Agency,Fayette,MS,ACTIVE
JEFFERSONCOUNTYTN.GOV,County,Non-Federal Agency,Dandridge,TN,ACTIVE
JEFFERSONCOUNTYWI.GOV,County,Non-Federal Agency,Jefferson,WI,ACTIVE
JENNINGSCOUNTY-IN.GOV,County,Non-Federal Agency,Vernon,IN,ACTIVE
JIMWELLSCOUNTY-TX.GOV,County,Non-Federal Agency,Alice,TX,ACTIVE
JONESCOUNTYNC.GOV,County,Non-Federal Agency,Trenton,NC,ACTIVE
KANAWHACOUNTYWV.GOV,County,Non-Federal Agency,Charleston,WV,ACTIVE
KAUAI.GOV,County,Non-Federal Agency,Lihue,HI,ACTIVE
KEITHCOUNTYNE.GOV,County,Non-Federal Agency,Ogallala,NE,ACTIVE
KENNEBECCOUNTY-ME.GOV,County,Non-Federal Agency,Augusta,ME,ACTIVE
KENTCOUNTYMI.GOV,County,Non-Federal Agency,Grand Rapids,MI,ACTIVE
KERNCOG-CA.GOV,County,Non-Federal Agency,Bakersfield,CA,ACTIVE
KINGCOUNTY.GOV,County,Non-Federal Agency,Seattle,WA,ACTIVE
KINGGEORGECOUNTYVA.GOV,County,Non-Federal Agency,King George,VA,ACTIVE
KINGSBURYNY.GOV,County,Non-Federal Agency,Hudson Falls,NY,ACTIVE
KNOXCOUNTYMAINE.GOV,County,Non-Federal Agency,Rockland,ME,ACTIVE
KNOXCOUNTYTEXAS.GOV,County,Non-Federal Agency,Benjamin,TX,ACTIVE
LACOUNTY.GOV,County,Non-Federal Agency,Downey,CA,ACTIVE
LAKECOUNTYCA.GOV,County,Non-Federal Agency,Lakeport,CA,ACTIVE
LAKECOUNTYIL.GOV,County,Non-Federal Agency,Waukegan,IL,ACTIVE
LAKECOUNTYOHIO.GOV,County,Non-Federal Agency,Painesville,OH,ACTIVE
LAKEMT.GOV,County,Non-Federal Agency,Polson,MT,ACTIVE
LAMARCOUNTYMS.GOV,County,Non-Federal Agency,Purvis,MS,ACTIVE
LANCASTERCOUNTYPA.GOV,County,Non-Federal Agency,Lancaster,PA,ACTIVE
LAPAZCOUNTYAZ.GOV,County,Non-Federal Agency,Parker,AZ,ACTIVE
LAUDERDALECOUNTYAL.GOV,County,Non-Federal Agency,Florence,AL,ACTIVE
LAWRENCECOUNTYTN.GOV,County,Non-Federal Agency,Lawrenceburg,TN,ACTIVE
LCCOUNTYMT.GOV,County,Non-Federal Agency,Helena,MT,ACTIVE
LEE-COUNTY-FL.GOV,County,Non-Federal Agency,Fort Myers,FL,ACTIVE
LEECOUNTYNC.GOV,County,Non-Federal Agency,Sanford,NC,ACTIVE
LEONCOUNTYFL.GOV,County,Non-Federal Agency,Tallahassee,FL,ACTIVE
LEWISCOUNTYWA.GOV,County,Non-Federal Agency,Chehalis,WA,ACTIVE
LIBERTYCOUNTY-GA.GOV,County,Non-Federal Agency,Hinesville,GA,ACTIVE
LIMESTONECOUNTY-AL.GOV,County,Non-Federal Agency,Athens,AL,ACTIVE
LIMESTONECOUNTYEMA-AL.GOV,County,Non-Federal Agency,Athens,AL,ACTIVE
LINCOLNCOUNTYNM.GOV,County,Non-Federal Agency,Carrizozo,NM,ACTIVE
LIVINGSTONCOUNTYIL.GOV,County,Non-Federal Agency,Pontiac,IL,ACTIVE
LIVINGSTONPARISHLA.GOV,County,Non-Federal Agency,Livingston,LA,ACTIVE
LOGANCOUNTYCO.GOV,County,Non-Federal Agency,Sterling,CO,ACTIVE
